web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712223563-1","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","Walking Lunges with Twists
			    
			    

	
		Target Body Part:
		Abs, Butt/Hips, Legs - Thighs
	
	
		Equipment:
		Medicine Ball
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/139/walking-lunges-with-twists/","Step 1
Starting Position: Stand with your feet about hip width apart. Depress and retract your scapulae (pull your shoulders down and back) without arching your low back, and ""brace"" (engage your abdominal/core muscles) to stiffen your spine.  Hold a medicine ball in front of your mid-section with a firm grip by both hands.
Step 2
Step forward by slowly lifting the right foot off the floor, stabilizing your body on the left (stance / supporting) leg. Maintain the abdominal bracing in order to avoid any sideways tilting or swaying in your upper body and keep the left (stance / supporting) foot pressed firmly in to the ground. Hold this position momentarily before stepping forward. The right (swing) leg should initiate contact with a heel strike first, slowly transferring your body weight into the right (leading / forward) foot placed firmly on the floor. As you lower your bodyweight into the right leg, avoid any sideways tilting or swaying in your upper body and try not to move the left (stance / supporting) foot. 
Step 3
As you lunge forward, focus more on lowering your hips towards the floor rather than driving your hips forward, (think about aiming your left knee towards the heel of your right foot). This will help control the amount of forward movement of your shinbone (forward tibial translation) over your foot. Continue lowering your body to a comfortable position or until your right (front) thigh becomes parallel with the floor and your tibia (shinbone) is in a slight forward lean. While lunging, simultaneously lean forward slightly at your hips while maintaining the adominal bracing to keep the spine extended and rotate to your left while continuing to hold the medicine ball in front of your mid-section. 
Step 4
From the lowered position, rotate back to the right so that you are facing straight ahead, firmly push the right foot in to the ground and pull yourself back to a standing position by drving the right knee straight back to create knee and hip extension simultaneously.  As you are pulling yourself foward with the right leg, pick the left leg off of the ground and slowly swing it forward to initiate the next lunge.
Step 5
While balancing on the right leg, step forward with the left foot off the floor, stabilize your body by maintaining the abdominal bracing in order to avoid any sideways tilting or swaying in your upper body.  Keep the right (stance / supporting) foot pressed firmly in to the ground.  The left (swing) leg should initiate contact with a heel strike first, slowly transferring your body weight into the left (leading / forward) foot placed firmly on the floor. As you lower your bodyweight into the left leg, avoid any sideways tilting or swaying in your upper body and try not to move the  right (stance / supporting) foot. 
 
Step 6
As you continue into the next lunge with the left foot forward, keep the focus on lowering your hips towards the floor rather than driving your hips forward, (think about aiming your right (back) knee towards the heel of your left (front) foot). This will help control the amount of forward movement of your shinbone (forward tibial translation) over your foot. Continue lowering your body to a comfortable position or until your left (front) thigh becomes parallel with the floor and your tibia (shinbone) is in a slight forward lean. While lunging, simultaneously lean forward slightly at your hips while maintaining the adominal bracing to keep the spine extended and rotate to your right while continuing to hold the medicine ball in front of your mid-section. 
Step 7
From the lowered position, rotate back to the left so that you are facing straight ahead, firmly push the left foot in to the ground and pull yourself back to a standing position by drving the left knee straight back to create knee and hip extension simultaneously.  As you are pulling yourself foward with the left leg, pick the right foot off of the ground and slowly swing it forward to initiate the next lunge.
Step 8
Continue the walking lunge with rotation for a specific number of repetitions or a certain distance.
 
Step 9
One variation is to contract the abdominals and glutes at the top of the stance phase (for example while balanced on the right leg with the left leg off of the ground) for 2-3 seconds to create a balance challenge.  Another variation is to add more resistance by holding one dumbbell in each hand with the elbows bent at 90 degrees and pressed into the sides of the abdominals.
To control the rotation of the movement, maintain a tall, straight spine and turn your head with your shoulders.
			

		Share:","Walking Lunges with Twists","Medicine Ball","Abs, Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/139-1.jpg"
"1712223565-2","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","Vertical Toe Touches
			    
			    

	
		Target Body Part:
		Abs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/243/vertical-toe-touches/","Step 1
Starting Position: Lie flat on your back on the floor / mat in a bent-knee position with feet placed firmly on the floor and arms at your sides.  Stiffen (“brace”) your abdominal muscles to stabilize your spine, depress and retract your scapulae (pull shoulders back and down) and attempt to hold these positions throughout the exercise.  Slowly lift both feet off the floor, extending your knees until your thighs are aligned vertically with the floor, and allowing your toes to point away from your body (DO NOT move your thighs beyond this point as it shifts your body weight from your butt into your low back, which increases the stress to your low back).  Position your hands on your thighs (front or side) without lifting your shoulder blades off the floor / mat.

Step 2
Gently exhale, contract your abdominals to flex (curl) your trunk, lifting your scapulae (shoulder blades) off the floor, slowly sliding your hands down your thighs towards your ankles.  Maintain your head position aligned with your thoracic (upper) spine and avoid flexing your head too far forward. This movement will press your low back into the floor / mat. 

Step 3
Continue curling upward until your scapulae (shoulder blades) lift completely off the floor and hold this up-position briefly for 5 - 10 seconds then slowly return downwards to your starting position and repeat the movement.  Complete a set of quality reps until your experience fatigue or until your technique (form) becomes compromised.
 

To maximize the benefits of this exercise and reduce the potential for injury, it is important to control your movement speed, keep your thighs aligned vertically and roll your trunk upwards and downwards during the exercise. 

			

		Share:","Vertical Toe Touches","No Equipment","Abs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/243-1.jpg"
"1712223567-3","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","V-ups
			    
			    

	
		Target Body Part:
		Abs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/242/v-ups/","Step 1
Starting Position: Assume a seated bent-knee position, feet placed flat on the floor / mat and arms outstretched behind you with your palms flat on the floor / mat and fingers pointed outwards or away from your body.  Adjust your position to distribute your weight evenly between your feet, butt and arms.  Keep your back supported in a neutral or flat position (i.e., avoid arching or slumping) and your head aligned with your thoracic (upper) spine.

Step 2
Slowly lean back, bending your elbows until your trunk is supported on your elbows.  Stiffen (“brace”) your abdominal muscles to stabilize your spine and attempt to hold this position throughout the exercise (avoid “arching” or “slumping” your low back).  Gently exhale and slowly lift one foot off the floor, extending the knee until the leg straightens with your toes pointing away from your body.  Hold this up-position briefly for 5 – 10 seconds then slowly return to your starting position and repeat the movement with the opposite leg.  Complete a set of quality reps until your experience fatigue or until your technique (form) becomes compromised.

Step 3
Progression #1: Adjust your position by sitting-up until your trunk is at a 45-degree angle with the floor and move your hands close to your hips to support your body while keeping a slight bend in your elbows.  Stiffen (“brace”) your abdominal muscles to stabilize your spine and attempt to hold this position throughout the exercise (avoid “arching” or “slumping” your low back).  Repeat the same sequence outlined previously, but avoid leaning back during the leg lift.

Step 4
Progression #2: Slowly lean back, bending your elbows until your trunk is supported on your elbows.  Stiffen (“brace”) your abdominal muscles to stabilize your spine and attempt to hold this position throughout the exercise (avoid “arching” or “slumping” your low back).  Gently exhale and slowly lift both feet off the floor, extending the knees until both legs straighten with your toes pointing away from your body.  Hold this up-position briefly for 10 – 15 seconds then slowly return to your starting position and repeat.  Complete a set of quality reps until your experience fatigue or until your technique (form) becomes compromised.

Step 5
Progression #3: Adjust your position by sitting-up until your trunk is at a 45-degree angle with the floor and move your hands out to your sides to support your body.  Stiffen (“brace”) your abdominal muscles to stabilize your spine and attempt to hold this position throughout the exercise (avoid “arching” or “slumping” your low back).  Repeat the same sequence outlined previously, but avoid leaning back during the leg lifts.

Step 6
Progression #4: Assume the same starting possession as outline previously with your trunk at a 45-degree angle with the floor, but remove your hands off the floor, extending them both directly in front of you, level with your chest.  Stiffen (“brace”) your abdominal muscles to stabilize your spine and attempt to hold this position throughout the exercise (avoid “arching” or “slumping” your low back).  Gently exhale and slowly lift one foot off the floor, extending the knee until the leg straightens with your toes pointing away from your body.  Hold this up-position briefly for 15 – 30 seconds then slowly return to your starting position and repeat the movement with the opposite leg.  Complete a set of quality reps until your experience fatigue or until your technique (form) becomes compromised.

Step 7
Progression #5: Assume the same starting possession as outline previously with your trunk at a 45-degree angle with the floor and hands removed from the floor, extending them both directly in front of you, level with your chest.  Stiffen (“brace”) your abdominal muscles to stabilize your spine and attempt to hold this position throughout the exercise (avoid “arching” or “slumping” your low back).  Gently exhale and slowly lift both feet off the floor, extending the knees until both legs straighten with your toes pointing away from your body.  Repeat the repetition sequence outlined previously.
 

To maximize the benefits of this exercise and reduce the potential for injury, it is important to control movement speed and monitor changes in your low back carefully.

			

		Share:","V-ups","No Equipment","Abs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/242-1.jpg"
"1712223569-4","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","V-twist
			    
			    

	
		Target Body Part:
		Abs
	
	
		Equipment:
		BOSU Trainer
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/305/v-twist/","Sitting on top of the BOSU dome, lean back at about a 45 degree angle. Lift the feet off the ground and keep the knees bent about 90 degrees. While maintaining a straight back, rotate the shoulders from side to side to touch the sides of the dome with both hands. 
			

		Share:","V-twist","BOSU Trainer","Abs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/no_photo.gif"
"1712223572-5","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","V Sit Partner Rotations
			    
			    

	
		Target Body Part:
		Abs
	
	
		Equipment:
		Medicine Ball
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/263/v-sit-partner-rotations/","With a partner, sit side by side facing the same direction and bring the legs up to a 45 degree bend; lean back slightly. Keeping the back straight, rotate the shoulders, passing the medicine ball back and forth between partners. 
			

		Share:","V Sit Partner Rotations","Medicine Ball","Abs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/263-1.jpg"
"1712223574-6","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","Upward Facing Dog
			    
			    

	
		Target Body Part:
		Abs, Back
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/244/upward-facing-dog/","Step 1
Starting Position:  Lie prone (on stomach) on a mat with your legs extended, toes pointing away from you, and place your hands directly under your shoulders with your fingers pointed forward and elbows positioned close to the sides of your body.  Align your head level with your thoracic (upper) spine and attempt to maintain the alignment throughout the exercise.

Step 2
Gently exhale and press your upper body upwards, by extending your elbows and hinge from your hips (i.e., increase the arch in your low back).  Continue moving upwards until you reach the point of tension, but avoid bouncing or pushing to the point of pain.  As you extend your elbows, your hips and upper thighs will begin to lift off the mat, but avoid lifting your knees off the floor and performing a push-up movement.  Hold this position for 15 – 30 seconds then slowly return downwards to your starting position and repeat the movement 2 – 4 times.

Step 3
The objective of this exercise is to extend your spine and hips, stretching the muscles on the front side of your trunk and hips, and not a strengthening exercise for your chest and arms.
 

To maximize the benefits of this exercise and reduce the potential for injury, it is important to control your movement speed, carefully monitoring for any symptoms of pain in your spine or hips.  Be sure to differentiate the feeling of tightness from pain.

			

		Share:","Upward Facing Dog","No Equipment","Abs, Back","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/244-1.jpg"
"1712223576-7","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","TRX ® Suspended Pike
			    
			    

	
		Target Body Part:
		Abs, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/88/trx-reg-suspended-pike/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with the tops of your feet by plantarflexing your ankles (toes point away from your shins). Gently lie flat on your stomach with your hands placed shoulder-width apart, under your shoulders and facing forward. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and your glutes and quadriceps (butt and thigh muscles).
Step 2
Exhale and slowly press yourself upward until your elbows are fully extended, aligning your head and spine (avoid any sagging or aching in your low back or hips hiking upwards). Keep your feet together throughout the exercise and avoid any back and forth swinging of the TRX straps.
Step 3
Upward Phase: Exhale, contract your abdominal muscles and slowly pull your legs towards your chest. Knees must remain extended knees and ankles in plantarflexion (toes pointed away from your shins). Keep you feet together throughout the exercise. During the movement your hips will rise upwards (your glutes should move towards the ceiling). Continue the movement until your hips move directly over your shoulders in an inverted shoulder press position. Maintain a rigid torso and flat spine, preventing any arching or bowing in the back.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body towards the starting push-up position, maintaining your head and spine alignment.
Step 5
Exercise Variation: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from the anchor point of the TRX.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Suspended Pike","TRX","Abs, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/88-1.jpg"
"1712223578-8","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","TRX ® Suspended Lunge
			    
			    

	
		Target Body Part:
		Abs, Butt/Hips, Legs - Thighs
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/93/trx-reg-suspended-lunge/","Step 1
Starting Position: Stand in front of the anchor point and interlock the two TRX handles together (refer to TRX user instructions). Loop the foot cradle around the ball of your right foot while supporting yourself. Slowly turn to face away from the anchor point, standing on your stance leg, aligned in front, but directly in line with the anchor point. Your suspended foot should be dorsiflexed at the ankle (toes pulled towards your shin).
Step 2
Adopt a modified sprinter-stance with the right leg flexed to 90 degrees, knees aligned side by side, and the left arm flexed to 90 degrees at the elbow with the finger tips level with or just below your chin. Your right arm should also be flexed to 90 degrees, driving it back from the shoulder until the upper arm lies approximately 45 degrees from vertical.
Step 3
Downward Phase: Inhale and slowly lower your body towards the floor, shifting the hips backwards simultaneously and maintaining your body weight over the heel of your left foot. As your body lowers, the suspended leg will drive backwards, maintaining the 90 degree bend at the knee. Your right arm should drive forward from the shoulder towards the a end-position where the left arm started. Your left arm should simultaneously drive backwards to an end-position where the right arm started. Throughout the arm movements, squeeze the arms to the sides of your body and drive from the shoulders while maintaining the 90 degree bends. Continue to lower yourself maintaining weight over your left heel until your right thigh and torso are in parallel (form a straight line together). Your left tibia (shinbone) should move level with or slightly ahead of the ball of your left foot.
Step 4
Upward Phase: Exhale and slowly press your body upwards by pushing down against the floor through your left heel. The muscle action at the knee and hips extend the body back to your starting position.
Step 5
Exercise Variation (1): To increase the exercise intensity move more explosively to triple extension. The upward phase should be performed more explosively and incorporating triple extension (at the ankle, knee and hip).
Step 6
Exercise Variation (2): To increase the exercise intensity move the upper extremity into different planes. While the lower extremity moves in the sagittal plane (front and back), the upper extremity and/or arms can move in the frontal (left and right) and transverse plane (rotation).
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does necessitate additional attention to proper form.
			

		Share:","TRX ® Suspended Lunge","TRX","Abs, Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/93-1.jpg"
"1712223580-9","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","TRX ® Suspended Knee Tucks
			    
			    

	
		Target Body Part:
		Abs, Chest
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/87/trx-reg-suspended-knee-tucks/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with the tops of your feet by plantarflexing your ankles (point toes away from your shins). Gently lie flat on your stomach with your hands placed shoulder-width apart, under your shoulders and facing forward. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and your glutes and quadriceps (butt and thigh muscles).
Step 2
Upward Phase: Exhale and slowly press yourself upward until your elbows are fully extended, aligning your head and spine (avoid any sagging or aching in your low back or hips hiking upwards). Keep your feet together throughout the exercise and avoid any back and forth swinging of the TRX straps. Slowly pull your knees toward your chest, bending your knees as they tuck under your hips, keeping your feet together and ankles in plantarflexion (toes pointed away from your shins). During this movement, your hips will rise upwards and your spine will flex (curl into a ball). Continue pulling your knees inwards until they lie directly under your hips.
Step 3
Downward Phase: Inhale and slowly lower your body towards your starting push-up position, aligning your head and spine together. Avoid any arching or sagging in your low back throughout the range of motion.
Step 4
Exercise Variation: The intensity of this exercise can be increased by positioning your body further away from under the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Suspended Knee Tucks","TRX","Abs, Chest","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/87-1.jpg"
"1712223582-10","https://www.acefitness.org/resources/everyone/exercise-library/body-part/abs/?page=8","TRX ® Single-arm Row
			    
			    

	
		Target Body Part:
		Abs, Arms, Back
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/92/trx-reg-single-arm-row/","Step 1
Starting Position: Holding the TRX handles or foot cradles in your right hand, turn yourself to face the anchor point. Extend (straighten) your right elbow to chest height, maintain a neutral wrist position (straight, not bent) with your thumb facing the ceiling. Retract and depress your right scapulae (pull your right shoulder down and back).
Step 2
Assume a split-stance position with the left foot forward and maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""). Gently lean backwards, shifting your body weight over your back leg while extending (straightening) your elbow, maintaining its position at chest height. Keep your wrists in a neutral position (straight, not bent) and thumb towards the ceiling. Concentrate on keeping your scapulae retracted and do not let your right shoulder roll forward. Keep your head aligned with your spine, and avoiding any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly flex (bend) your right elbow by pulling your entire body away from your arm. Your right elbow should move towards the right side of your body, your body should not rotate and your wrist should remain in the neutral position. Maintain a stiff torso with your head and spine aligned, and avoid any sagging or aching in your low back or hips.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body back towards your starting position, extending (straightening) your elbow without your shoulder rolling forward. Keep your head and spine aligned together.
Step 5
Exercise Variation (1): Change to a high-back row by raising the elbow to shoulder height during the pull movement. This places more emphasis on the posterior deltoids and muscles in the upper back.
Step 6
Exercise Variation (2) To increase the intensity of this exercise, lengthen the straps and position your body further away from under the anchor point of the TRX, or change the foot position so that the ipsilateral (same side) leg is forward.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Single-arm Row","TRX","Abs, Arms, Back","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/92-1.jpg"
