web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712223699-1","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=5","Wrist Supination & Pronation Exercises
			    
			    

	
		Target Body Part:
		Arms
	
	
		Equipment:
		Bench, Dumbbells
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/31/wrist-supination-and-pronation/","Step 1
Starting Position: Holding two dumbbells, kneel and rest your elbows on a bench with approximately a 90 degree bend at the elbows and the dumbbells hanging freely off the edge of the pad. Position your forearms into neutral with the dumbbells vertical to the floor (rotate forearms to face palms inward) keeping your wrists in a neutral position (not in flexion or extension).
 
Step 2
Downward Phase: Inhale and slowly pronate your forearms (rotate the dumbbells towards the floor) while maintaining a neutral wrist (not in flexion nor extension). Avoid releasing your grip, extending your arms, leaning forward / backward or any rapid, jerking movements. Hold this end position briefly.
 
Step 3
Upward Phase: Exhale and slowly supinate your forearms (rotate the dumbbells towards the ceiling) while maintaining a neutral wrist (not in flexion nor extension). Avoid releasing your grip, extending your arms, leaning forward / backward or any rapid, jerking movements. Hold this end position briefly and repeat the entire sequence.
Exercise technique is important to avoid potential injury, control the movement of your dumbbells by slowing down the movement speed at the end ranges of motion in each direction. For additional strength gains, think about squeezing the handle of the dumbbell as hard as possible during both phases of the movement.
			

		Share:","Wrist Supination & Pronation Exercises","Bench, Dumbbells","Arms","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/31-1.jpg"
"1712223701-2","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=5","Wrist Curl - Flexion
			    
			    

	
		Target Body Part:
		Arms
	
	
		Equipment:
		Bench, Dumbbells
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/30/wrist-curl-flexion/","Step 1
Starting Position: Holding two dumbbells, kneel and rest your elbows on a bench with approximately a 90 degree bend at the elbows and the dumbbells hanging freely off the edge of the pad. Supinate your forearms (rotate the forearms so that the tops are along the bench and the palms are facing upward) keep your wrists in a neutral position (not in flexion or extension).
Step 2
Downward Phase: Inhale and slowly allow the wrists to move into extension (allow dumbbells to move towards the floor) without releasing your grip, extending your arms or leaning forward / backward. Hold this end position briefly.
Step 3
Upward Phase: Exhale and slowly contract your forearm flexor muscles (along the top of the forearm) rolling your wrists towards you in order to return the dumbbells back to the starting position.
Individuals sometimes release their grip during the lowering phase, allowing the dumbbells to roll towards their finger tips. While this may increase the load on the forearm muscles, it also increases the risk of wrist injury and dropping the dumbbells. To increase strength think about squeezing the weights as hard as possible during both phases of the movement.
			

		Share:","Wrist Curl - Flexion","Bench, Dumbbells","Arms","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/30-1.jpg"
"1712223703-3","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=5","Wrist Curl - Extension
			    
			    

	
		Target Body Part:
		Arms
	
	
		Equipment:
		Bench, Dumbbells
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/29/wrist-curl-extension/","Step 1
Starting Position: Holding two dumbbells, kneel and rest your elbows on a bench with approximately a 90 degree bend at the elbows and the dumbbells hanging freely off the edge of the pad. Pronate your forearms (rotate forearms to face palms downward and the bottom of the forearms are resting on the bench) while keeping your wrists in a neutral position (not in flexion or extension).
 
Step 2
Downward Phase: Inhale and slowly allow the wrists to move into flexion (allow dumbbells to move towards the floor) without releasing your grip, extending your arms or leaning forward / backward. Hold this end position briefly.
 
Step 3
Upward Phase: Exhale and slowly contract your forearm extensor muscles (along the top of the forearm) and roll your wrists to pull the weight up and return the dumbbells back to the starting position.
			

		Share:","Wrist Curl - Extension","Bench, Dumbbells","Arms","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/29-1.jpg"
"1712223706-4","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=5","TRX ® Suspended Push-up
			    
			    

	
		Target Body Part:
		Arms, Chest, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/89/trx-reg-suspended-push-up/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with the tops of your feet by plantarflexing your ankles (toes point away from your shins). Gently lie flat on your stomach with your hands placed shoulder-width apart, under your shoulders and facing forward. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and your glutes and quadriceps (butt and thigh muscles).
Step 2
Upward Phase: Exhale and slowly press yourself upward until your elbows are fully extended, aligning your head and spine (avoid any sagging or aching in your low back or hips hiking upwards). Keep your feet together throughout the exercise and avoid any back and forth swinging of the TRX straps.
Step 3
Downward Phase: Maintaining your rigid torso, inhale and slowly lower your body towards the floor, touching your chin or upper chest to the floor. Again, avoid any arching or sagging in your low back.
Step 4
Exercise Variation: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from under the anchor point of the TRX.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Suspended Push-up","TRX","Arms, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/89-1.jpg"
"1712223708-5","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=5","TRX ® Single-arm Row
			    
			    

	
		Target Body Part:
		Abs, Arms, Back
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/92/trx-reg-single-arm-row/","Step 1
Starting Position: Holding the TRX handles or foot cradles in your right hand, turn yourself to face the anchor point. Extend (straighten) your right elbow to chest height, maintain a neutral wrist position (straight, not bent) with your thumb facing the ceiling. Retract and depress your right scapulae (pull your right shoulder down and back).
Step 2
Assume a split-stance position with the left foot forward and maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""). Gently lean backwards, shifting your body weight over your back leg while extending (straightening) your elbow, maintaining its position at chest height. Keep your wrists in a neutral position (straight, not bent) and thumb towards the ceiling. Concentrate on keeping your scapulae retracted and do not let your right shoulder roll forward. Keep your head aligned with your spine, and avoiding any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly flex (bend) your right elbow by pulling your entire body away from your arm. Your right elbow should move towards the right side of your body, your body should not rotate and your wrist should remain in the neutral position. Maintain a stiff torso with your head and spine aligned, and avoid any sagging or aching in your low back or hips.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body back towards your starting position, extending (straightening) your elbow without your shoulder rolling forward. Keep your head and spine aligned together.
Step 5
Exercise Variation (1): Change to a high-back row by raising the elbow to shoulder height during the pull movement. This places more emphasis on the posterior deltoids and muscles in the upper back.
Step 6
Exercise Variation (2) To increase the intensity of this exercise, lengthen the straps and position your body further away from under the anchor point of the TRX, or change the foot position so that the ipsilateral (same side) leg is forward.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Single-arm Row","TRX","Abs, Arms, Back","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/92-1.jpg"
"1712223710-6","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=5","TRX ® Single-arm Chest Press
			    
			    

	
		Target Body Part:
		Abs, Arms, Chest
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/91/trx-reg-single-arm-chest-press/","Step 1
Starting Position: Holding both TRX handles or foot cradles in your left hand, turn yourself to face away from the anchor point. Extend (straighten) your left elbow to chest height, position your wrist in neutral (straight, not bent) with your palm facing the floor. Retract and depress your left scapulae (pull your left shoulder down and back).
Step 2
Assume a split-stance position with the right foot forward, lunging forward slowly and allowing some bending at the hips until the straps become tight. Maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""). Gently lower your upper body towards your left hand while keeping the head and spine aligned, and avoiding any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly extend (straighten) your left elbow by pressing your entire body away from your arm. Your upper arm should remain level with your chest, your body should not rotate and your wrist should remain in the neutral (straight, not bent) position. Maintain a stiff torso aligning your head and spine, and avoid any sagging or arching in your low back or hips.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body back towards your starting position keeping your head aligned with your spine. Repeat to the opposite side, changing your arm and leg positions.
Step 5
Exercise Variation: To increase the intensity of this exercise lengthen the straps and position your body further away from under the anchor point, or change the foot position so that the ipsilateral (same-side) leg is forward.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Single-arm Chest Press","TRX","Abs, Arms, Chest","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/91-1.jpg"
"1712223712-7","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=5","TRX ® Overhead Triceps Extension
			    
			    

	
		Target Body Part:
		Arms
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/80/trx-reg-overhead-triceps-extension/","Step 1
Starting Position: Holding the TRX handles in each hand, turn yourself to face away from the anchor point. Position your hands overhead with a 90 degree bend in your elbows, and elbows pointing forward with neutral wrists (not in flexion or extension). Assume a split-stance position, lunging forward until the straps become tight and maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing"").
Step 2
Upward Phase: Exhale and slowly extend (straighten) your elbows by pressing your body away from your arms. Your upper arms should not move, your elbows should continue to point forward (away from your body) and your wrists should remain in the neutral position. Maintain a stiff torso aligning your head and spine, and avoid any sagging or aching in your low back or hips.
Step 3
Downward Phase: While maintaining a stable torso, inhale and slowly lower your body back towards your starting position keeping your head and spine aligned together.
Step 4
Progression: The intensity of this exercise can be increased by positioning your body further away from under the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises. However, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Overhead Triceps Extension","TRX","Arms","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/80-1.jpg"
"1712223714-8","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=5","TRX ® Chest Press
			    
			    

	
		Target Body Part:
		Abs, Arms, Chest
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/85/trx-reg-chest-press/","Step 1
Starting Position: Holding the TRX handles in each hand, turn yourself to face away from the anchor point. Raise your elbows to chest height, position your wrists in neutral (straight, not bent) with palms facing the floor, and retract and depress your scapulae (pull your shoulders down and back).
Step 2
Assume a split-stance position, lunging forward slowly and allowing some bending at the hips until the straps become tight. Maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""). Gently lower your upper body towards your hands while keeping the head and spine aligned and avoiding any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly extend (straighten) your elbows by pressing your body away from your arms. Your upper arms should remain level with your chest and your wrists should remain in the neutral position. Maintain a stiff torso aligning your head and spine and avoid any sagging or aching in your low back and hips.
Step 4
Downward Phase: While maintaining a straight, rigid torso, inhale and slowly lower your body back towards your starting position keeping your head and spine aligned.
Step 5
Exercise Variation: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from the anchor point of the TRX.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Chest Press","TRX","Abs, Arms, Chest","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/85-1.jpg"
"1712223716-9","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=5","TRX ® Biceps Curl
			    
			    

	
		Target Body Part:
		Abs, Arms
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/78/trx-reg-biceps-curl/","Step 1
Starting Position: Holding the TRX handles in each hand, turn yourself to face the anchor point. Assume a split-stance position with both feet facing forward and maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and retract and depress your scapulae (pull your shoulder blades down and back).
Step 2
Gently lean backwards, shifting your body weight over your back leg while extending (straightening) your elbows positioned at chest height. Keep your wrists in neutral (straight, not bent) with palms facing the ceiling and elbows pointing towards the floor. Concentrate on keeping your scapulae retracted and do not let your shoulders roll forward. Keep your head and spine aligned, and avoid any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly flex (bend) your elbows by pulling your entire body towards your hands. Your elbows should remain in front of and pointed away from your body and your wrists should remain in the neutral position. Maintain a stiff torso aligning your head and spine, and avoid any sagging or aching in your low back or hips.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body back towards your starting position, extending (straightening) your elbows without your shoulders rolling forward. Keep your head and spine aligned together.
Step 5
Exercise Variation (1): Change to a pronated grip (palms facing away from the body) on the TRX handles. This places more emphasis on the Brachialis and Brachioradialis (forearm) muscles.
Step 6
Exercise Variation (2):The intensity of this exercise can be increased by positioning your body further away from under the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to stabilize their lumber spine (low back) with their core muscles effectively.
			

		Share:","TRX ® Biceps Curl","TRX","Abs, Arms","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/78-1.jpg"
"1712223721-10","https://www.acefitness.org/resources/everyone/exercise-library/body-part/arms/?page=4","TRX ® Back Row
			    
			    

	
		Target Body Part:
		Abs, Arms, Back
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/84/trx-reg-back-row/","Step 1
Starting Position: Holding the TRX handles in each hand, turn yourself to face the anchor point. Assume a split-stance position with both feet facing forward and maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and retracting and depressing your scapulae (pull your shoulder blades down and back).
Step 2
Gently lean backwards, shifting your body weight over your back leg while extending (straightening) your elbows positioned at chest height. Keep your wrists neutral (straight, not bent) with palms facing inward. Concentrate on keeping your scapulae retracted and do not let your shoulders roll forward. Keep your head and spine aligned, and avoiding any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly flex (bend) your elbows by pulling your entire body towards your hands. Your elbows should move towards your sides and remain close to your body while your wrists should stay in the neutral position (think about pulling your elbows closer to your ribs). Maintain a stiff torso aligning your head and spine, and avoid any sagging or aching in your low back or hips.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body back towards your starting position, extending (straightening) your elbows without your shoulders rolling forward. Keep your head and spine aligned together.
Step 5
Exercise Variation (1): Change to a high-back row by raising the elbows to shoulder height during the pull movement. This places more emphasis on the posterior deltoids and muscles in the upper back.
Step 6
Exercise Variation (2): The intensity of this exercise can be increased by positioning your body further away from the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Back Row","TRX","Abs, Arms, Back","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/84-1.jpg"
