web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712224837-1","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=5","Upward Facing Dog
			    
			    

	
		Target Body Part:
		Abs, Back
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/244/upward-facing-dog/","Step 1
Starting Position:  Lie prone (on stomach) on a mat with your legs extended, toes pointing away from you, and place your hands directly under your shoulders with your fingers pointed forward and elbows positioned close to the sides of your body.  Align your head level with your thoracic (upper) spine and attempt to maintain the alignment throughout the exercise.

Step 2
Gently exhale and press your upper body upwards, by extending your elbows and hinge from your hips (i.e., increase the arch in your low back).  Continue moving upwards until you reach the point of tension, but avoid bouncing or pushing to the point of pain.  As you extend your elbows, your hips and upper thighs will begin to lift off the mat, but avoid lifting your knees off the floor and performing a push-up movement.  Hold this position for 15 – 30 seconds then slowly return downwards to your starting position and repeat the movement 2 – 4 times.

Step 3
The objective of this exercise is to extend your spine and hips, stretching the muscles on the front side of your trunk and hips, and not a strengthening exercise for your chest and arms.
 

To maximize the benefits of this exercise and reduce the potential for injury, it is important to control your movement speed, carefully monitoring for any symptoms of pain in your spine or hips.  Be sure to differentiate the feeling of tightness from pain.

			

		Share:","Upward Facing Dog","No Equipment","Abs, Back","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/244-1.jpg"
"1712224839-2","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=5","TRX ® Single-arm Row
			    
			    

	
		Target Body Part:
		Abs, Arms, Back
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/92/trx-reg-single-arm-row/","Step 1
Starting Position: Holding the TRX handles or foot cradles in your right hand, turn yourself to face the anchor point. Extend (straighten) your right elbow to chest height, maintain a neutral wrist position (straight, not bent) with your thumb facing the ceiling. Retract and depress your right scapulae (pull your right shoulder down and back).
Step 2
Assume a split-stance position with the left foot forward and maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""). Gently lean backwards, shifting your body weight over your back leg while extending (straightening) your elbow, maintaining its position at chest height. Keep your wrists in a neutral position (straight, not bent) and thumb towards the ceiling. Concentrate on keeping your scapulae retracted and do not let your right shoulder roll forward. Keep your head aligned with your spine, and avoiding any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly flex (bend) your right elbow by pulling your entire body away from your arm. Your right elbow should move towards the right side of your body, your body should not rotate and your wrist should remain in the neutral position. Maintain a stiff torso with your head and spine aligned, and avoid any sagging or aching in your low back or hips.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body back towards your starting position, extending (straightening) your elbow without your shoulder rolling forward. Keep your head and spine aligned together.
Step 5
Exercise Variation (1): Change to a high-back row by raising the elbow to shoulder height during the pull movement. This places more emphasis on the posterior deltoids and muscles in the upper back.
Step 6
Exercise Variation (2) To increase the intensity of this exercise, lengthen the straps and position your body further away from under the anchor point of the TRX, or change the foot position so that the ipsilateral (same side) leg is forward.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Single-arm Row","TRX","Abs, Arms, Back","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/92-1.jpg"
"1712224841-3","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=5","TRX ® Side-straddle Golf Swings 
			    
			    

	
		Target Body Part:
		Back, Chest, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/81/trx-reg-side-straddle-golf-swings/","Step 1
Starting Position: Holding the TRX handles or foot cradles in each hand, turn yourself to face the anchor point with your feet wider than hip-width and both facing forward. Bend at the hips, pushing them backwards while maintaining your weight over your heels and using the TRX to assist you keep your balance. As your lean backwards, extend your arms forward at chest height with palms facing towards the floor. Keep your head up, looking forward throughout this movement.
Step 2
Rotation Movement: Exhale and slowly rotate your arms at the shoulders without turning your head until you reach a point of tension. The leading arm will rotate behind your torso while the trailing arm will simply move across the front of your body. Hold briefly, inhale, then exhale and rotate in the opposite direction.
Step 3
Exercise Variation (1): To progress the exercise and mimic the golf swing more closely try moving your feet together and change your starting position where you are not bending over, but assuming a slightly bent-knee (1/4 squat) position. Extend your arms forward towards your knees rather than to chest level (pushing down on the handles of foot cradles) and rotate as described above. This rotation will exhibit more pivoting off the back foot. Change your head position to look towards the floor.
Step 4
Exercise Variation (2): Progress the movement to a windmill to increase torso rotation for your golf swing. From the same starting position described in the first progression, rotate both arms together in each direction while keeping your head fixed and facing the floor. This movement will exhibit a greater degree of pivoting off the back foot.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it requires additional attention to proper form.
			

		Share:","TRX ® Side-straddle Golf Swings","TRX","Back, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/81-1.jpg"
"1712224844-4","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=5","TRX ® Hip Press
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Legs - Thighs
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/90/trx-reg-hip-press/","Step 1
Starting Position: Place your feet securely in the foot cradles positioned directly under the TRX anchor point. Apply downward pressure with your heels by dorsiflexing your ankles (toes point towards your shins) Gently lie back on a mat / floor with your arms at your sides and palms flat on the ground. Contract your core and glute muscles to lift your hips off the mat / floor keeping your body aligned and rigid, using your hands to help stabilize your body. Slowly contract your hamstrings to move your heels towards your hips while keeping your ankles in dorsiflexion. The hips should move into flexion (bending in the hips), but your torso should remain rigid with your weight bearing on your shoulders. Keep you feet together throughout the exercise.
Step 2
Upward Phase: Exhale and press your hips towards the ceiling, extending your hips into a rigid straight line, but avoid arching your lower back. Avoid any back and forth swinging of the TRX straps.
Step 3
Downward Phase: Inhale and slowly return your hips to your starting position. Avoid any back and forth swinging of the TRX straps.
Step 4
Progression: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from under the anchor point of the TRX.
During this exercise, individuals often arch their back to press the hips as high as possible. This increases the stresses on the low back and should be avoided. Contracting your abdominal muscles and maintaining a neutral (flat) spine can reduce these stresses.
			

		Share:","TRX ® Hip Press","TRX","Back, Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/90-1.jpg"
"1712224846-5","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=5","TRX ® Back Row
			    
			    

	
		Target Body Part:
		Abs, Arms, Back
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/84/trx-reg-back-row/","Step 1
Starting Position: Holding the TRX handles in each hand, turn yourself to face the anchor point. Assume a split-stance position with both feet facing forward and maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and retracting and depressing your scapulae (pull your shoulder blades down and back).
Step 2
Gently lean backwards, shifting your body weight over your back leg while extending (straightening) your elbows positioned at chest height. Keep your wrists neutral (straight, not bent) with palms facing inward. Concentrate on keeping your scapulae retracted and do not let your shoulders roll forward. Keep your head and spine aligned, and avoiding any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly flex (bend) your elbows by pulling your entire body towards your hands. Your elbows should move towards your sides and remain close to your body while your wrists should stay in the neutral position (think about pulling your elbows closer to your ribs). Maintain a stiff torso aligning your head and spine, and avoid any sagging or aching in your low back or hips.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body back towards your starting position, extending (straightening) your elbows without your shoulders rolling forward. Keep your head and spine aligned together.
Step 5
Exercise Variation (1): Change to a high-back row by raising the elbows to shoulder height during the pull movement. This places more emphasis on the posterior deltoids and muscles in the upper back.
Step 6
Exercise Variation (2): The intensity of this exercise can be increased by positioning your body further away from the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Back Row","TRX","Abs, Arms, Back","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/84-1.jpg"
"1712224848-6","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=5","TRX ® Assisted Side Lunge with Arm Raise
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/83/trx-reg-assisted-side-lunge-with-arm-raise/","Step 1
Starting Position: Holding the TRX handles in each hand, turn to face the anchor point. Position your feet together and hold the handles slightly above, or at shoulder-height, but at shoulder-width or slightly wider. Stiffen your torso by contracting your core and abdominal muscles (""bracing"").
Step 2
Downward Phase: Inhale and slowly step to the left while keeping your weight over your heels, feet facing forward and using the TRX to help you maintain your balance. As you step, begin to raise both hands to an overhead position, preventing any excessive arching in your low back by depressing and retracting your scapulae (pulling your shoulders down and back) and contracting your abdominal muscles.
Step 3
Once your left foot is firmly placed on the floor, begin to bend at the hips, pushing them backwards while simultaneously shifting your weight towards your left foot. Continue shifting your weight over the left foot until your tibia (shinbone) is vertical to the floor and your left knee is aligned directly over the second toe of your left foot. Your right leg should be near, or at full extension at the knee while keeping the right foot flat and your body weight should be shifted over to the left hip. The heels of both feet should stay flat on the floor. Your arms should be in a wide, overhead position.
Step 4
Upward Phase: Exhale and push off firmly with your left leg, while pulling on the TRX, returning your body to your starting position. Repeat the movement to the opposite side.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does necessitate additional attention to proper form.
			

		Share:","TRX ® Assisted Side Lunge with Arm Raise","TRX","Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/83-1.jpg"
"1712224850-7","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=5","TRX ® Assisted Cross-over Lunge with Arm Raise
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/82/trx-reg-assisted-cross-over-lunge-with-arm-raise/","Step 1
Starting Position: Holding the TRX handles in each hand, turn to face the anchor point. Position your feet together and hold the handles slightly above or at shoulder-height, but at shoulder-width or slightly wider. Stiffen your torso by contracting your core and abdominal muscles (""bracing"").
Step 2
Downward Phase: Inhale and slowly step with your right leg across to the left while keeping your weight over your heels, both feet facing forward and using the TRX to help you maintain balance. As you step, begin to raise both hands to an overhead position. Prevent any excessive arching in your low back by depressing and retracting your scapulae (pulling your shoulders down and back) and contracting your abdominal muscles).
Step 3
Once your right foot is firmly placed on the floor, begin to bend at the hips, pushing them backwards while simultaneously shifting your weight towards your right foot. Continue shifting your weight over the right foot until your tibia (shinbone) is vertical to the floor and aligned directly over your second toe, with your weight distributed through your heel. The heel of your back foot may lift of the ground as you load into your right foot. Your arms should be in a wide, overhead position.
Step 4
Upward Phase: Exhale and push off firmly with your right leg, while pulling on the TRX, returning your body to your starting position. Repeat the movement to the opposite side.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does require additional attention to proper form.
			

		Share:","TRX ® Assisted Cross-over Lunge with Arm Raise","TRX","Back, Butt/Hips, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/82-1.jpg"
"1712224852-8","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=5","Supine Spinal Twist with Rib Grab and Progressions
			    
			    

	
		Target Body Part:
		Abs, Back, Chest, Shoulders
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/229/supine-spinal-twist-with-rib-grab-and-progressions/","Step 1
Starting Position: Lie on your side on a mat with both legs bent slightly deeper than 90 degrees at the hips, knees bent to 90 degrees, and feet overlapping each other.  Align your hips and shoulder vertically with the floor and spine and head in a straight line.  Extend your lower arm in front of your body at chest level, resting it upon the mat while reaching with your upper arm down under your trunk to firmly grasp your ribcage.  Contract (“brace”) your abdominal muscles to stabilize your spine, depress and retract your scapulae (pull shoulders back and down) without moving your trunk and attempt to hold these positions throughout the exercise.

Step 2
Gently exhale and slowly rotate your trunk by pulling the ribcage around with your upper arm.  Attempt to avoid any rotation of your hips, (indicated by your upper thigh sliding backwards as you rotate).  Continue rotating your trunk until your reach the point of tension, avoid bouncing or pushing to the point of pain.  The deeper bend at the hips and abdominal stiffening will help prevent any arching in your low back during the stretch.  Grasping under your ribcage will ensure rotation, and stretching of, your trunk and reduce shoulder stress that often occurs when the arm is extended and allowed to fall towards the floor (refer progression).

Step 3
Hold this position for 15 – 30 seconds then relax and return to your starting position.  Perform 2 – 4 repetitions then repeat to the opposite side.

Step 4
Progression 1: Extend the lower leg, while resting the inside of the upper knee on a small riser.  In this position, the upper thigh may rotate with your trunk, evidenced by a backwards slide of the upper knee during the rotation.  Your objective is to stabilize your hips while only allowing rotation to occur in the trunk.

Step 5
Progression 2: Remove the riser under the upper knee and place it firmly against the mat / floor.  In this position, the upper knee may rise off the floor and the upper thigh may rotate with your trunk.  Your objective is to stabilize your hips by pressing the knee into the floor and only allowing rotation to occur in the trunk.

Step 6
Progression 3: Repeat the same exercise, but begin with both arms extended in front of your body at chest level.  As you begin to rotate, bend the upper elbow, sliding it towards your trunk, then extending the arm outwards again at chest level as you continue your rotation.  Continue your rotation until the point of tension in the trunk and shoulder, but avoid arching your back or rotating your hips. This will increase the stretch in the shoulder and chest region, in addition to your trunk.

To maximize the benefits of this stretch and reduce the potential for injury, it is often important to follow the instructions provided carefully.

 
			

		Share:","Supine Spinal Twist with Rib Grab and Progressions","No Equipment","Abs, Back, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/229-1.jpg"
"1712224854-9","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=5","Supermans
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Shoulders
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/9/supermans/","Step 1
Starting Position: Lie prone (on your stomach) on a mat with your legs extended, ankles slightly plantarflexed (toes pointing away from your shins), arms extended overhead with palms facing each other. Relax your head to align it with your spine.
 
Step 2
Upward Phase: Exhale, contract your abdominal and core muscles to stabilize your spine and slowly extend both hips (raise both legs) a few inches off the floor while simultaneously raising both arms a few inches off the floor. Keep both legs and arms extended and avoiding any rotation in each. Maintain your head and torso position, avoiding any arching in your back or raising of your head. Hold this position briefly.
 
Step 3
Downward Phase: Gently inhale and lower your legs and arms back towards your starting position without any movement in your low back or hips.
			

		Share:","Supermans","No Equipment","Back, Butt/Hips, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/9-1.jpg"
"1712224859-10","https://www.acefitness.org/resources/everyone/exercise-library/body-part/back/?page=4","Straight Arm Pressdown
			    
			    

	
		Target Body Part:
		Back
	
	
		Equipment:
		Resistance Bands/Cables
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/334/straight-arm-pressdown/","Stand with the feet hip-width apart, the hips straight, the back tall, and the knees slightly bent. Place the cable pulley at the highest position, use a straight bar attachment, and hold one end of the rope in each hand. Keep the arms straight while bringing the hands down to the front of the waist. Slowly lift the hands back to the starting position to lower the weight.
			

		Share:","Straight Arm Pressdown","Resistance Bands/Cables","Back","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/334-1.jpg"
