web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712224875-1","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=9","Warrior I
			    
			    

	
		Target Body Part:
		Butt/Hips, Full Body/Integrated, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/228/warrior-i/","Step 1
Starting Position:  Stand with your feet hip-width apart, toes pointing forward and arms by your sides. Stiffen your abdominal muscles (“brace”) to stabilize your spine, then depress and retract your scapulae (pull shoulders down and back) without arching your low back. Inhale.

Step 2
Exhale and take a larger step forward with your right foot while raising your arms to the ceiling, palms facing each other. Keep your right foot pointed forward and turn your left foot out to the side 45 to 60 degrees. Align your left heel with your right.  Begin lunging forward into the right leg while keeping your back (left) leg extended.  Do not allow the right knee to extend past the right toes. Keep the back (left) heel in contact with the ground. Slowly drop your hips and rotate your torso to the right squaring your shoulders and hips to the front of the matt. Support your weight by pushing through your left foot and reach through your arms up lifting your ribcage away from the pelvis. 

Step 3
Hold this position for 3-5 slow, deep breaths (approximately 20-30 seconds) and repeat on the other side.
			

		Share:","Warrior I","No Equipment","Butt/Hips, Full Body/Integrated, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/228-1.jpg"
"1712224877-2","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=9","Walking Lunges with Twists
			    
			    

	
		Target Body Part:
		Abs, Butt/Hips, Legs - Thighs
	
	
		Equipment:
		Medicine Ball
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/139/walking-lunges-with-twists/","Step 1
Starting Position: Stand with your feet about hip width apart. Depress and retract your scapulae (pull your shoulders down and back) without arching your low back, and ""brace"" (engage your abdominal/core muscles) to stiffen your spine.  Hold a medicine ball in front of your mid-section with a firm grip by both hands.
Step 2
Step forward by slowly lifting the right foot off the floor, stabilizing your body on the left (stance / supporting) leg. Maintain the abdominal bracing in order to avoid any sideways tilting or swaying in your upper body and keep the left (stance / supporting) foot pressed firmly in to the ground. Hold this position momentarily before stepping forward. The right (swing) leg should initiate contact with a heel strike first, slowly transferring your body weight into the right (leading / forward) foot placed firmly on the floor. As you lower your bodyweight into the right leg, avoid any sideways tilting or swaying in your upper body and try not to move the left (stance / supporting) foot. 
Step 3
As you lunge forward, focus more on lowering your hips towards the floor rather than driving your hips forward, (think about aiming your left knee towards the heel of your right foot). This will help control the amount of forward movement of your shinbone (forward tibial translation) over your foot. Continue lowering your body to a comfortable position or until your right (front) thigh becomes parallel with the floor and your tibia (shinbone) is in a slight forward lean. While lunging, simultaneously lean forward slightly at your hips while maintaining the adominal bracing to keep the spine extended and rotate to your left while continuing to hold the medicine ball in front of your mid-section. 
Step 4
From the lowered position, rotate back to the right so that you are facing straight ahead, firmly push the right foot in to the ground and pull yourself back to a standing position by drving the right knee straight back to create knee and hip extension simultaneously.  As you are pulling yourself foward with the right leg, pick the left leg off of the ground and slowly swing it forward to initiate the next lunge.
Step 5
While balancing on the right leg, step forward with the left foot off the floor, stabilize your body by maintaining the abdominal bracing in order to avoid any sideways tilting or swaying in your upper body.  Keep the right (stance / supporting) foot pressed firmly in to the ground.  The left (swing) leg should initiate contact with a heel strike first, slowly transferring your body weight into the left (leading / forward) foot placed firmly on the floor. As you lower your bodyweight into the left leg, avoid any sideways tilting or swaying in your upper body and try not to move the  right (stance / supporting) foot. 
 
Step 6
As you continue into the next lunge with the left foot forward, keep the focus on lowering your hips towards the floor rather than driving your hips forward, (think about aiming your right (back) knee towards the heel of your left (front) foot). This will help control the amount of forward movement of your shinbone (forward tibial translation) over your foot. Continue lowering your body to a comfortable position or until your left (front) thigh becomes parallel with the floor and your tibia (shinbone) is in a slight forward lean. While lunging, simultaneously lean forward slightly at your hips while maintaining the adominal bracing to keep the spine extended and rotate to your right while continuing to hold the medicine ball in front of your mid-section. 
Step 7
From the lowered position, rotate back to the left so that you are facing straight ahead, firmly push the left foot in to the ground and pull yourself back to a standing position by drving the left knee straight back to create knee and hip extension simultaneously.  As you are pulling yourself foward with the left leg, pick the right foot off of the ground and slowly swing it forward to initiate the next lunge.
Step 8
Continue the walking lunge with rotation for a specific number of repetitions or a certain distance.
 
Step 9
One variation is to contract the abdominals and glutes at the top of the stance phase (for example while balanced on the right leg with the left leg off of the ground) for 2-3 seconds to create a balance challenge.  Another variation is to add more resistance by holding one dumbbell in each hand with the elbows bent at 90 degrees and pressed into the sides of the abdominals.
To control the rotation of the movement, maintain a tall, straight spine and turn your head with your shoulders.
			

		Share:","Walking Lunges with Twists","Medicine Ball","Abs, Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/139-1.jpg"
"1712224879-3","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=9","Walking Abduction
			    
			    

	
		Target Body Part:
		Butt/Hips
	
	
		Equipment:
		Resistance Bands/Cables
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/290/walking-abduction/","With a resistance band under both feet, cross the hands and grasp each handle at the hips. Step to the side keeping both legs straight and the trunk strong and stable. 
			

		Share:","Walking Abduction","Resistance Bands/Cables","Butt/Hips","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/290-1.jpg"
"1712224881-4","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=9","Tuck Jump
			    
			    

	
		Target Body Part:
		Butt/Hips
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/180/tuck-jump/","Step 1
Starting Position: Stand with your feet feet hip-width apart, arms by your sides, depress and retract your scapulae (pull shoulders down and back) without arching your low back, and ""brace"" (engage your abdominal / core muscles) to stiffen your spine.
Step 2
Downward Phase: Begin your downward phase by first shifting your hips backwards then  moving downwards to create a hinge-like movement at your knees. Continue to lower yourself until you feel your heels about to lift off the floor. Try to maintain a flat back by bending forward at the hips, keep your head facing forward and position to your arms along your sides where comfortable or where they offer the greatest degree of balance support. 
Step 3
Jumping Movement: With ONLY a very brief pause at the bottom of your downward phase, explode upwards through your lower extremity, achieving triple extension (pushing and extending your ankles, knees and hips simultaneously). As you jump into the air, pull your knees up towards your chest and try to bring your heels right underneath your glute muscles; while in the air try to keep your feet level with each other and the bottoms parallel to the floor. 
Step 4
Landing: The most important components of the landing phase are correct foot position and avoiding excessive forward movement in your lower extremity which places additional stresses upon your knees.  Attempt to land softly and quietly on the mid-foot, rolling backwards quickly towards the heels. Always push your hips backwards and drop them downwards to absorb the impact forces associated with jumping. Avoid locking out your knees or quads on your landing as this may lead to potential knee injuries 
Exercise Variation: Perform repeating jumps, or add the knee tuck to the forward linear jump.
 
Use your arms to help create momentum and propel you up into the air; when squatting down reach your arms behind you, then when you jump swing your arms forward and up while pushing your legs in to the ground to help generate extra power.
			

		Share:","Tuck Jump","No Equipment","Butt/Hips","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/180-1.jpg"
"1712224883-5","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=9","TRX ® Suspended Lunge
			    
			    

	
		Target Body Part:
		Abs, Butt/Hips, Legs - Thighs
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/93/trx-reg-suspended-lunge/","Step 1
Starting Position: Stand in front of the anchor point and interlock the two TRX handles together (refer to TRX user instructions). Loop the foot cradle around the ball of your right foot while supporting yourself. Slowly turn to face away from the anchor point, standing on your stance leg, aligned in front, but directly in line with the anchor point. Your suspended foot should be dorsiflexed at the ankle (toes pulled towards your shin).
Step 2
Adopt a modified sprinter-stance with the right leg flexed to 90 degrees, knees aligned side by side, and the left arm flexed to 90 degrees at the elbow with the finger tips level with or just below your chin. Your right arm should also be flexed to 90 degrees, driving it back from the shoulder until the upper arm lies approximately 45 degrees from vertical.
Step 3
Downward Phase: Inhale and slowly lower your body towards the floor, shifting the hips backwards simultaneously and maintaining your body weight over the heel of your left foot. As your body lowers, the suspended leg will drive backwards, maintaining the 90 degree bend at the knee. Your right arm should drive forward from the shoulder towards the a end-position where the left arm started. Your left arm should simultaneously drive backwards to an end-position where the right arm started. Throughout the arm movements, squeeze the arms to the sides of your body and drive from the shoulders while maintaining the 90 degree bends. Continue to lower yourself maintaining weight over your left heel until your right thigh and torso are in parallel (form a straight line together). Your left tibia (shinbone) should move level with or slightly ahead of the ball of your left foot.
Step 4
Upward Phase: Exhale and slowly press your body upwards by pushing down against the floor through your left heel. The muscle action at the knee and hips extend the body back to your starting position.
Step 5
Exercise Variation (1): To increase the exercise intensity move more explosively to triple extension. The upward phase should be performed more explosively and incorporating triple extension (at the ankle, knee and hip).
Step 6
Exercise Variation (2): To increase the exercise intensity move the upper extremity into different planes. While the lower extremity moves in the sagittal plane (front and back), the upper extremity and/or arms can move in the frontal (left and right) and transverse plane (rotation).
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does necessitate additional attention to proper form.
			

		Share:","TRX ® Suspended Lunge","TRX","Abs, Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/93-1.jpg"
"1712224886-6","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=9","TRX ® Hip Press
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Legs - Thighs
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/90/trx-reg-hip-press/","Step 1
Starting Position: Place your feet securely in the foot cradles positioned directly under the TRX anchor point. Apply downward pressure with your heels by dorsiflexing your ankles (toes point towards your shins) Gently lie back on a mat / floor with your arms at your sides and palms flat on the ground. Contract your core and glute muscles to lift your hips off the mat / floor keeping your body aligned and rigid, using your hands to help stabilize your body. Slowly contract your hamstrings to move your heels towards your hips while keeping your ankles in dorsiflexion. The hips should move into flexion (bending in the hips), but your torso should remain rigid with your weight bearing on your shoulders. Keep you feet together throughout the exercise.
Step 2
Upward Phase: Exhale and press your hips towards the ceiling, extending your hips into a rigid straight line, but avoid arching your lower back. Avoid any back and forth swinging of the TRX straps.
Step 3
Downward Phase: Inhale and slowly return your hips to your starting position. Avoid any back and forth swinging of the TRX straps.
Step 4
Progression: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from under the anchor point of the TRX.
During this exercise, individuals often arch their back to press the hips as high as possible. This increases the stresses on the low back and should be avoided. Contracting your abdominal muscles and maintaining a neutral (flat) spine can reduce these stresses.
			

		Share:","TRX ® Hip Press","TRX","Back, Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/90-1.jpg"
"1712224888-7","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=9","TRX ® Hamstrings Curl 
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Thighs
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/86/trx-reg-hamstrings-curl/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with your heels by dorsiflexing your ankles (pull toes towards your shins). Gently lie back on a mat/floor with your arms at your sides and palms flat on the ground. Contract your core and glute muscles to lift your hips off the mat/floor keeping your body aligned and rigid, using your hands to help stabilize your body. Keep you feet together throughout the exercise.
Step 2
Upward Phase: Exhale and slowly contract your hamstrings to move your heels towards your hips while keeping your ankles in dorsiflexion. Allow slight flexion in the hips (forward bend in the hips), but maintain a stable torso. Avoid any back and forth swinging of the TRX straps.
Step 3
Downward Phase: Inhale and slowly return both feet in unison towards your starting position, establishing a rigid body alignment. Avoid any back and forth swinging of the TRX straps.
Step 4
Exercise Variation: The intensity of this exercise can be increased by positioning your body further away from under the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Hamstrings Curl","TRX","Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/86-1.jpg"
"1712224890-8","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=9","TRX ® Assisted Side Lunge with Arm Raise
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/83/trx-reg-assisted-side-lunge-with-arm-raise/","Step 1
Starting Position: Holding the TRX handles in each hand, turn to face the anchor point. Position your feet together and hold the handles slightly above, or at shoulder-height, but at shoulder-width or slightly wider. Stiffen your torso by contracting your core and abdominal muscles (""bracing"").
Step 2
Downward Phase: Inhale and slowly step to the left while keeping your weight over your heels, feet facing forward and using the TRX to help you maintain your balance. As you step, begin to raise both hands to an overhead position, preventing any excessive arching in your low back by depressing and retracting your scapulae (pulling your shoulders down and back) and contracting your abdominal muscles.
Step 3
Once your left foot is firmly placed on the floor, begin to bend at the hips, pushing them backwards while simultaneously shifting your weight towards your left foot. Continue shifting your weight over the left foot until your tibia (shinbone) is vertical to the floor and your left knee is aligned directly over the second toe of your left foot. Your right leg should be near, or at full extension at the knee while keeping the right foot flat and your body weight should be shifted over to the left hip. The heels of both feet should stay flat on the floor. Your arms should be in a wide, overhead position.
Step 4
Upward Phase: Exhale and push off firmly with your left leg, while pulling on the TRX, returning your body to your starting position. Repeat the movement to the opposite side.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does necessitate additional attention to proper form.
			

		Share:","TRX ® Assisted Side Lunge with Arm Raise","TRX","Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/83-1.jpg"
"1712224894-9","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=8","TRX ® Assisted Cross-over Lunge with Arm Raise
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/82/trx-reg-assisted-cross-over-lunge-with-arm-raise/","Step 1
Starting Position: Holding the TRX handles in each hand, turn to face the anchor point. Position your feet together and hold the handles slightly above or at shoulder-height, but at shoulder-width or slightly wider. Stiffen your torso by contracting your core and abdominal muscles (""bracing"").
Step 2
Downward Phase: Inhale and slowly step with your right leg across to the left while keeping your weight over your heels, both feet facing forward and using the TRX to help you maintain balance. As you step, begin to raise both hands to an overhead position. Prevent any excessive arching in your low back by depressing and retracting your scapulae (pulling your shoulders down and back) and contracting your abdominal muscles).
Step 3
Once your right foot is firmly placed on the floor, begin to bend at the hips, pushing them backwards while simultaneously shifting your weight towards your right foot. Continue shifting your weight over the right foot until your tibia (shinbone) is vertical to the floor and aligned directly over your second toe, with your weight distributed through your heel. The heel of your back foot may lift of the ground as you load into your right foot. Your arms should be in a wide, overhead position.
Step 4
Upward Phase: Exhale and push off firmly with your right leg, while pulling on the TRX, returning your body to your starting position. Repeat the movement to the opposite side.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does require additional attention to proper form.
			

		Share:","TRX ® Assisted Cross-over Lunge with Arm Raise","TRX","Back, Butt/Hips, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/82-1.jpg"
"1712224896-10","https://www.acefitness.org/resources/everyone/exercise-library/body-part/butt-hips/?page=8","Transverse Lunge
			    
			    

	
		Target Body Part:
		Butt/Hips
	
	
		Equipment:
		Dumbbells
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/365/transverse-lunge/","Stand with the feet hip-width apart holding one dumbbell in each hand with the palms facing each other and the arms straight down by the sides. Keep the left foot pointed straight ahead (the 12 o’clock direction) while stepping back and out to the right side with the right foot and place it facing in the 4 o’clock direction. As the right foot hits the ground push back into the right hip while reaching for the right foot with both hands. To return to standing, push off the ground with the right foot and press the left foot into the ground to pull the body back to the center and the feet back together.
			

		Share:","Transverse Lunge","Dumbbells","Butt/Hips","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/365-1.jpg"
