web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712225084-1","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=4","TRX ® Suspended Push-up
			    
			    

	
		Target Body Part:
		Arms, Chest, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/89/trx-reg-suspended-push-up/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with the tops of your feet by plantarflexing your ankles (toes point away from your shins). Gently lie flat on your stomach with your hands placed shoulder-width apart, under your shoulders and facing forward. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and your glutes and quadriceps (butt and thigh muscles).
Step 2
Upward Phase: Exhale and slowly press yourself upward until your elbows are fully extended, aligning your head and spine (avoid any sagging or aching in your low back or hips hiking upwards). Keep your feet together throughout the exercise and avoid any back and forth swinging of the TRX straps.
Step 3
Downward Phase: Maintaining your rigid torso, inhale and slowly lower your body towards the floor, touching your chin or upper chest to the floor. Again, avoid any arching or sagging in your low back.
Step 4
Exercise Variation: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from under the anchor point of the TRX.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Suspended Push-up","TRX","Arms, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/89-1.jpg"
"1712225086-2","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=4","TRX ® Suspended Knee Tucks
			    
			    

	
		Target Body Part:
		Abs, Chest
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/87/trx-reg-suspended-knee-tucks/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with the tops of your feet by plantarflexing your ankles (point toes away from your shins). Gently lie flat on your stomach with your hands placed shoulder-width apart, under your shoulders and facing forward. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and your glutes and quadriceps (butt and thigh muscles).
Step 2
Upward Phase: Exhale and slowly press yourself upward until your elbows are fully extended, aligning your head and spine (avoid any sagging or aching in your low back or hips hiking upwards). Keep your feet together throughout the exercise and avoid any back and forth swinging of the TRX straps. Slowly pull your knees toward your chest, bending your knees as they tuck under your hips, keeping your feet together and ankles in plantarflexion (toes pointed away from your shins). During this movement, your hips will rise upwards and your spine will flex (curl into a ball). Continue pulling your knees inwards until they lie directly under your hips.
Step 3
Downward Phase: Inhale and slowly lower your body towards your starting push-up position, aligning your head and spine together. Avoid any arching or sagging in your low back throughout the range of motion.
Step 4
Exercise Variation: The intensity of this exercise can be increased by positioning your body further away from under the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Suspended Knee Tucks","TRX","Abs, Chest","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/87-1.jpg"
"1712225088-3","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=4","TRX ® Single-arm Chest Press
			    
			    

	
		Target Body Part:
		Abs, Arms, Chest
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/91/trx-reg-single-arm-chest-press/","Step 1
Starting Position: Holding both TRX handles or foot cradles in your left hand, turn yourself to face away from the anchor point. Extend (straighten) your left elbow to chest height, position your wrist in neutral (straight, not bent) with your palm facing the floor. Retract and depress your left scapulae (pull your left shoulder down and back).
Step 2
Assume a split-stance position with the right foot forward, lunging forward slowly and allowing some bending at the hips until the straps become tight. Maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""). Gently lower your upper body towards your left hand while keeping the head and spine aligned, and avoiding any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly extend (straighten) your left elbow by pressing your entire body away from your arm. Your upper arm should remain level with your chest, your body should not rotate and your wrist should remain in the neutral (straight, not bent) position. Maintain a stiff torso aligning your head and spine, and avoid any sagging or arching in your low back or hips.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body back towards your starting position keeping your head aligned with your spine. Repeat to the opposite side, changing your arm and leg positions.
Step 5
Exercise Variation: To increase the intensity of this exercise lengthen the straps and position your body further away from under the anchor point, or change the foot position so that the ipsilateral (same-side) leg is forward.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Single-arm Chest Press","TRX","Abs, Arms, Chest","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/91-1.jpg"
"1712225090-4","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=4","TRX ® Side-straddle Golf Swings 
			    
			    

	
		Target Body Part:
		Back, Chest, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/81/trx-reg-side-straddle-golf-swings/","Step 1
Starting Position: Holding the TRX handles or foot cradles in each hand, turn yourself to face the anchor point with your feet wider than hip-width and both facing forward. Bend at the hips, pushing them backwards while maintaining your weight over your heels and using the TRX to assist you keep your balance. As your lean backwards, extend your arms forward at chest height with palms facing towards the floor. Keep your head up, looking forward throughout this movement.
Step 2
Rotation Movement: Exhale and slowly rotate your arms at the shoulders without turning your head until you reach a point of tension. The leading arm will rotate behind your torso while the trailing arm will simply move across the front of your body. Hold briefly, inhale, then exhale and rotate in the opposite direction.
Step 3
Exercise Variation (1): To progress the exercise and mimic the golf swing more closely try moving your feet together and change your starting position where you are not bending over, but assuming a slightly bent-knee (1/4 squat) position. Extend your arms forward towards your knees rather than to chest level (pushing down on the handles of foot cradles) and rotate as described above. This rotation will exhibit more pivoting off the back foot. Change your head position to look towards the floor.
Step 4
Exercise Variation (2): Progress the movement to a windmill to increase torso rotation for your golf swing. From the same starting position described in the first progression, rotate both arms together in each direction while keeping your head fixed and facing the floor. This movement will exhibit a greater degree of pivoting off the back foot.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it requires additional attention to proper form.
			

		Share:","TRX ® Side-straddle Golf Swings","TRX","Back, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/81-1.jpg"
"1712225093-5","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=4","TRX ® Chest Press
			    
			    

	
		Target Body Part:
		Abs, Arms, Chest
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/85/trx-reg-chest-press/","Step 1
Starting Position: Holding the TRX handles in each hand, turn yourself to face away from the anchor point. Raise your elbows to chest height, position your wrists in neutral (straight, not bent) with palms facing the floor, and retract and depress your scapulae (pull your shoulders down and back).
Step 2
Assume a split-stance position, lunging forward slowly and allowing some bending at the hips until the straps become tight. Maintain this foot position throughout the exercise. Stiffen your torso by contracting your core/abdominal muscles (""bracing""). Gently lower your upper body towards your hands while keeping the head and spine aligned and avoiding any sagging in the low back.
Step 3
Upward Phase: Exhale and slowly extend (straighten) your elbows by pressing your body away from your arms. Your upper arms should remain level with your chest and your wrists should remain in the neutral position. Maintain a stiff torso aligning your head and spine and avoid any sagging or aching in your low back and hips.
Step 4
Downward Phase: While maintaining a straight, rigid torso, inhale and slowly lower your body back towards your starting position keeping your head and spine aligned.
Step 5
Exercise Variation: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from the anchor point of the TRX.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Chest Press","TRX","Abs, Arms, Chest","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/85-1.jpg"
"1712225095-6","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=4","TRX ® Atomic Push-up
			    
			    

	
		Target Body Part:
		Abs, Arms, Chest, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/77/trx-reg-atomic-push-up/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with the tops of your feet by plantarflexing your ankles (toes point away from your shins). Gently lie flat on your stomach with your hands placed shoulder-width apart, under your shoulders and facing forward. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and your glutes (butt) and quadriceps (thigh) muscles.
Step 2
Upward Phase: Exhale and slowly press yourself upward until your elbows are fully extended, aligning your head and spine. Avoid sagging or aching your low back, avoid the hips hiking upwards, and be sure to contract your glutes and quadriceps to maintain hip stability. Keep your feet together throughout the exercise and avoid any back and forth swinging of the TRX straps. Continue to pull your legs towards your chest. Knees must remain extended, knees and ankles in plantarflexion (toes pointed away from your shins). Keep your feet together throughout the exercise. During the movement, your hips will rise upwards and continue the movement until your hips are directly over your shoulders in an inverted shoulder press position. Maintain a rigid torso and flat spine, preventing any arching or bowing in the back.
Step 3
Downward Phase: While maintaining a rigid torso, inhale and slowly lower your body towards the push-up, aligning your head and spine. Continue to slowly lower your body, touching your chin or upper chest to the floor. Again, avoid any arching or sagging in your low back. Contract your glutes and quadriceps to help maintain stability.
Step 4
Exercise Variation: The intensity of this exercise can be increased by positioning your body further away from under the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate effectively stabilize their lumber spine (low back) using their core muscles.
			

		Share:","TRX ® Atomic Push-up","TRX","Abs, Arms, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/77-1.jpg"
"1712225097-7","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=4","Supine Spinal Twist with Rib Grab and Progressions
			    
			    

	
		Target Body Part:
		Abs, Back, Chest, Shoulders
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/229/supine-spinal-twist-with-rib-grab-and-progressions/","Step 1
Starting Position: Lie on your side on a mat with both legs bent slightly deeper than 90 degrees at the hips, knees bent to 90 degrees, and feet overlapping each other.  Align your hips and shoulder vertically with the floor and spine and head in a straight line.  Extend your lower arm in front of your body at chest level, resting it upon the mat while reaching with your upper arm down under your trunk to firmly grasp your ribcage.  Contract (“brace”) your abdominal muscles to stabilize your spine, depress and retract your scapulae (pull shoulders back and down) without moving your trunk and attempt to hold these positions throughout the exercise.

Step 2
Gently exhale and slowly rotate your trunk by pulling the ribcage around with your upper arm.  Attempt to avoid any rotation of your hips, (indicated by your upper thigh sliding backwards as you rotate).  Continue rotating your trunk until your reach the point of tension, avoid bouncing or pushing to the point of pain.  The deeper bend at the hips and abdominal stiffening will help prevent any arching in your low back during the stretch.  Grasping under your ribcage will ensure rotation, and stretching of, your trunk and reduce shoulder stress that often occurs when the arm is extended and allowed to fall towards the floor (refer progression).

Step 3
Hold this position for 15 – 30 seconds then relax and return to your starting position.  Perform 2 – 4 repetitions then repeat to the opposite side.

Step 4
Progression 1: Extend the lower leg, while resting the inside of the upper knee on a small riser.  In this position, the upper thigh may rotate with your trunk, evidenced by a backwards slide of the upper knee during the rotation.  Your objective is to stabilize your hips while only allowing rotation to occur in the trunk.

Step 5
Progression 2: Remove the riser under the upper knee and place it firmly against the mat / floor.  In this position, the upper knee may rise off the floor and the upper thigh may rotate with your trunk.  Your objective is to stabilize your hips by pressing the knee into the floor and only allowing rotation to occur in the trunk.

Step 6
Progression 3: Repeat the same exercise, but begin with both arms extended in front of your body at chest level.  As you begin to rotate, bend the upper elbow, sliding it towards your trunk, then extending the arm outwards again at chest level as you continue your rotation.  Continue your rotation until the point of tension in the trunk and shoulder, but avoid arching your back or rotating your hips. This will increase the stretch in the shoulder and chest region, in addition to your trunk.

To maximize the benefits of this stretch and reduce the potential for injury, it is often important to follow the instructions provided carefully.

 
			

		Share:","Supine Spinal Twist with Rib Grab and Progressions","No Equipment","Abs, Back, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/229-1.jpg"
"1712225101-8","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=3","Supine Snow Angel (Wipers) Exercise
			    
			    

	
		Target Body Part:
		Abs, Chest, Shoulders
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/124/supine-snow-angel-wipers-exercise/","Step 1
Starting Position: Lie supine (on your back) on an exercise mat or firm surface, bending your knees until your feet are positioned flat on the floor 12-18"" from your buttocks. Place your arms at your sides, with elbows fully extended and palms facing inward. Breathe deeply for a 30 seconds relaxing your body and allowing gravity to gently pull your lower back and shoulders towards the floor.
Step 2
Depress and retract your scapulae (pull your shoulder down and back) without increasing the arch in your low back or lifting your hips off the mat / floor. Contract your abdominal / core muscles to flatten your low back into the mat and hold this position throughout the exercise.
Step 3
Slide your arms out from your sides forming a 45-degree angle with your torso, keeping your upper arms making contact with the mat / floor. Bend your elbows to a comfortable position and keep your wrists in a neutral position (aligning the backs of your forearms, wrists and hands).
Step 4
Upward Movement: Exhale and gently rotate your upper arms, sliding the mat / floor to an end position where your hands touch overhead and your elbows have a comfortable bend. Attempt to keep much of the back of your upper arms, forearms, wrists and hands in contact with, or near the mat/ floor and avoid arching your lower back as your rotate overhead.
Step 5
Downward Movement: Inhale and gently rotate your arms back to your starting position, attempting to keep your upper arms, forearms, wrists and hands in contact with, or near the mat/ floor and avoid arching your lower back as your rotate overhead.
This exercise stretches the muscles of your shoulders and lats in a stable and isolated manner. Reducing movement restriction in the shoulder helps minimize the likelihood of shoulder injury and pain. Try performing this exercise adjacent to a mirror that will allow you to monitor any undesired movement in the hips, ribs, shoulder or low-back.
			

		Share:","Supine Snow Angel (Wipers) Exercise","No Equipment","Abs, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/124-1.jpg"
"1712225103-9","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=3","Standing Incline Cable Flyes
			    
			    

	
		Target Body Part:
		Chest
	
	
		Equipment:
		Weight Machines / Selectorized
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/163/standing-incline-cable-flyes/","Step 1
Starting Position: Position the cable handles level with the region between your knees and hips, and grasp each handle firmly.  Stiffen (“brace”) your abdominal muscles to stabilize your spine, and attempt to avoid any arching of your low back throughout the exercise. Press both arms down and infront of your body to a level just above chest level until your elbows are fully extended

Step 2
Assume a staggered-stance position (i.e., walking position, with one leg forward) to stabilize yourself and align your trunk vertically.  Allow your arms to slowly open , moving downward and outward to your sides.  Maintain a slight bend in your elbows, neutral wrist position (i.e., wrists aligned in a straight line with your forearms) and do not allow your hands to move past the midline of your body (level of your armpit).

Step 3
Exhale gently and slowly squeeze your chest muscles to pull your arms forward until your hands meet level with your face or above your head . Maintain the slight bend in your elbows, neutral wrist position and vertical alignment of your trunk throughout the movement. 

Step 4
Pause momentarily then slowly return to your starting position, allowing your arms to move back outwards in a slow, controlled manner.  Maintain the slight bend in your elbows, neutral wrist position and vertical alignment of your trunk throughout the movement.  Repeat the movement.

Step 5
Exercise Variation:
This exercise can be progressed in several ways including:

Bringing both feet together to increase the need to stabilize your core.                      
Performing the same exercise while standing on an unstable surface (e.g., balance training device).
Standing on one foot.
Perfoming the exercise unilaterally (one arm at a time) while avoiding any trunk rotation. 

 

Avoid the tendency to lean forward during this exercise as this increases the stresses within the shoulder joint, which happens frequently when the resistance used is too heavy. To protect your shoulders from potential injury, lower the resistance, align your trunk vertically and follow the instructions provided.

			

		Share:","Standing Incline Cable Flyes","Weight Machines / Selectorized","Chest","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/163-1.jpg"
"1712225105-10","https://www.acefitness.org/resources/everyone/exercise-library/body-part/chest/?page=3","Standing Decline Cable Flyes
			    
			    

	
		Target Body Part:
		Chest
	
	
		Equipment:
		Weight Machines / Selectorized
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/161/standing-decline-cable-flyes/","Step 1
STARTING POSITION: Position the cable handles approximately level with the top of your head and grasp each handle firmly. Stiffen (“brace”) your abdominal muscles to stabilize your spine, and attempt to avoid any arching of your low back throughout the exercise. Press both arms down and infront of your body to a level just below your chest until your elbows are fully extended. 

Step 2
Assume a staggered-stance position (i.e., walking position, with one leg forward) to stabilize yourself and align your trunk vertically. Allow your arms to slowly open , moving upward and outward to your sides.  Maintain a slight bend in your elbows, neutral wrist position (i.e., wrists aligned in a straight line with your forearms) and do not allow your hands to move past the midline of your body (level of your armpit).

Step 3
Exhale gently and slowly squeeze your chest muscles to pull your arms forward until your hands meet below the level of your chest. Maintain the slight bend in your elbows, neutral wrist position and vertical alignment of your trunk throughout the movement.

Step 4
Pause momentarily then slowly return to your starting position, allowing your arms to move back outwards in a slow, controlled manner.  Maintain the slight bend in your elbows, neutral wrist position and vertical alignment of your trunk throughout the movement.  Repeat the movement.

Step 5
Exercise Variation: This exercise can be progressed in several ways including:

Bringing both feet together to increase the need to stabilize your core.                      
Performing the same exercise while standing on an unstable surface (e.g., balance training device).
Standing on one foot
Perfoming the exercise unilaterally (one arm at a time) while avoiding any trunk rotation. 

 

Avoid the tendency to lean forward during this exercise as this increases the stresses within the shoulder joint, which happens frequently when the resistance used is too heavy. To protect your shoulders from potential injury, lower the resistance, align your trunk vertically and follow the instructions provided.

			

		Share:","Standing Decline Cable Flyes","Weight Machines / Selectorized","Chest","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/161-1.jpg"
