web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712225122-1","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=7","Warrior I
			    
			    

	
		Target Body Part:
		Butt/Hips, Full Body/Integrated, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/228/warrior-i/","Step 1
Starting Position:  Stand with your feet hip-width apart, toes pointing forward and arms by your sides. Stiffen your abdominal muscles (“brace”) to stabilize your spine, then depress and retract your scapulae (pull shoulders down and back) without arching your low back. Inhale.

Step 2
Exhale and take a larger step forward with your right foot while raising your arms to the ceiling, palms facing each other. Keep your right foot pointed forward and turn your left foot out to the side 45 to 60 degrees. Align your left heel with your right.  Begin lunging forward into the right leg while keeping your back (left) leg extended.  Do not allow the right knee to extend past the right toes. Keep the back (left) heel in contact with the ground. Slowly drop your hips and rotate your torso to the right squaring your shoulders and hips to the front of the matt. Support your weight by pushing through your left foot and reach through your arms up lifting your ribcage away from the pelvis. 

Step 3
Hold this position for 3-5 slow, deep breaths (approximately 20-30 seconds) and repeat on the other side.
			

		Share:","Warrior I","No Equipment","Butt/Hips, Full Body/Integrated, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/228-1.jpg"
"1712225124-2","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=7","Waiter's Carry
			    
			    

	
		Target Body Part:
		Full Body/Integrated
	
	
		Equipment:
		Kettlebells
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/390/waiter-s-carry/","Stand with the feet hip-width apart and hold a kettlebell in the right hand in a ‘bottom-up’ position (holding the top of the handle so that the bottom of the kettlebell is facing up to the ceiling.) Squeeze the handle of the kettlebell with a tight grip to maintain balance. Keep the back straight and the right elbow next to the rib cage while walking a specified, pre-determined distance; after covering the distance turn towards the kettlebell to face the opposite direction and return to the starting point. 
			

		Share:","Waiter's Carry","Kettlebells","Full Body/Integrated","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/390-1.jpg"
"1712225127-3","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=7","Turkish Get-up
			    
			    

	
		Target Body Part:
		Full Body/Integrated
	
	
		Equipment:
		Kettlebells
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/388/turkish-get-up/","Lie on the ground on the right side, with the body curled in the fetal position and the kettlebell in the right hand. Roll over to the back facing the ceiling with the left leg out straight about 45 degrees and the right knee bent so that the right foot is flat on the floor. Grip a kettlebell tightly in the right arm and hold it straight overhead with the left arm directly out to the left side. Lift the right shoulder off the ground, and push up with the left hand while curling the chest up. Keeping the eyes on the kettlebell throughout the movement, push the right foot into the floor and straighten the left arm to lift the hips off the floor. Hold the bridge position while bringing the left leg back and placing the left knee on the floor directly under the hips. Remove the left hand from the floor, and move into a kneeling position with the left knee and right foot on the ground. Continue to hold the right arm overhead and press the right foot into the ground, swinging the left leg forward to stand up straight. To return to the ground, step back with the left leg and slowly lower to a kneeling position, place the left hand on the floor and sweep the left leg to the front of the body. Hold the bridge position between left hand and right foot, then slowly lower the hips to the ground before rolling all the way back to the ground. 
			

		Share:","Turkish Get-up","Kettlebells","Full Body/Integrated","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/388-1.jpg"
"1712225129-4","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=7","TRX ® Assisted Side Lunge with Arm Raise
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/83/trx-reg-assisted-side-lunge-with-arm-raise/","Step 1
Starting Position: Holding the TRX handles in each hand, turn to face the anchor point. Position your feet together and hold the handles slightly above, or at shoulder-height, but at shoulder-width or slightly wider. Stiffen your torso by contracting your core and abdominal muscles (""bracing"").
Step 2
Downward Phase: Inhale and slowly step to the left while keeping your weight over your heels, feet facing forward and using the TRX to help you maintain your balance. As you step, begin to raise both hands to an overhead position, preventing any excessive arching in your low back by depressing and retracting your scapulae (pulling your shoulders down and back) and contracting your abdominal muscles.
Step 3
Once your left foot is firmly placed on the floor, begin to bend at the hips, pushing them backwards while simultaneously shifting your weight towards your left foot. Continue shifting your weight over the left foot until your tibia (shinbone) is vertical to the floor and your left knee is aligned directly over the second toe of your left foot. Your right leg should be near, or at full extension at the knee while keeping the right foot flat and your body weight should be shifted over to the left hip. The heels of both feet should stay flat on the floor. Your arms should be in a wide, overhead position.
Step 4
Upward Phase: Exhale and push off firmly with your left leg, while pulling on the TRX, returning your body to your starting position. Repeat the movement to the opposite side.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does necessitate additional attention to proper form.
			

		Share:","TRX ® Assisted Side Lunge with Arm Raise","TRX","Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/83-1.jpg"
"1712225131-5","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=7","Transverse Lunge to Single Arm Row
			    
			    

	
		Target Body Part:
		Full Body/Integrated
	
	
		Equipment:
		Resistance Bands/Cables
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/346/transverse-lunge-to-single-arm-row/","Place a cable pulley in the highest position and attach a single handle. Stand facing the pulley with the feet close together, and grip the handle in the left hand. Step back with the left foot on the ground pointed in the 9 o'clock direction with the right foot facing the machine, pointed in the 12 o'clock direction. When the left foot is on the ground, pull the left arm back (keeping the elbow high) and reach forward with the right hand straight out a little higher than the shoulder. Pull the left hand all the way back until it is directly in front of the left shoulder, and pause before straightening the left arm. Step back with the left foot to return to the original starting position. 
			

		Share:","Transverse Lunge to Single Arm Row","Resistance Bands/Cables","Full Body/Integrated","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/346-1.jpg"
"1712225133-6","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=7","Toe Taps
			    
			    

	
		Target Body Part:
		Full Body/Integrated
	
	
		Equipment:
		BOSU Trainer
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/307/toe-taps/","Standing behind the BOSU, rest one foot on top of the dome, with the toe down. Quickly switch legs to bring the opposite foot on the dome. Switch feet quickly, tapping one foot on top of the dome then the other while moving around the dome in a circle. Keep switching legs and moving around the dome for desired time before switching directions. 
			

		Share:","Toe Taps","BOSU Trainer","Full Body/Integrated","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/307-1.jpg"
"1712225135-7","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=7","T Drill 
			    
			    

	
		Target Body Part:
		Full Body/Integrated
	
	
		Equipment:
		Cones
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/171/t-drill/","Step 1
Starting Position: Begin in a three-point stance with the hips flexed, knees bent, right foot back, the left foot forward, the right hand should be placed on the ground and the left arm in full shoulder extension (the forward motion of the arm driving forward helps with acceleration). 
Step 2
Drive the left arm forward and the right arm backwards while picking up the right leg and driving the left leg in to the ground to use left leg triple extension (plantar flexion in the ankle combined with extension of the knee and hip) to create rapid acceleration by pushing off against the ground.
Step 3
Continue with a rapid forward run focusing on maintaining explosive arm drive combined with explosive leg drive creating triple extension.
Step 4
When approaching the center cone, drop the weight back into the hips (creating hip flexion) while maintaining a tall trunk with a straight spine to while placing the feet out in front of your center of mass to decelerate your forward momentum; use the left arm to touch the cone and ensure that you are in an athletic ready position and low enough with your hips to create explosive hip drive to move laterally to the next cone.
Step 5
Plant the right foot into the ground while simultaneously picking of the left foot to move to the left; when the right foot is on the ground in hip extension and the left foot is in the air to begin the movement to the left side, the left arm should be back in shoulder extension and the right arm forward in shoulder flexion.
Step 6
Pushing off the right foot, shuffle to the left towards the cone placed approximately 5 yards to the left of the center cone;  both feet should remain parallel and your body should maintain the athletic ready position with your weight back in your hips during the lateral shuffling motion. 
Step 7
At the left cone reach down with your left hand to touch the cone (this reach will ensure that you drop back into your hips); once you have touched the cone, drive the left foot into the ground and pick up the right foot to begin the lateral shuffling movement back to the right.
Step 8
Maintain the athletic ready position with your weight back in your hips, your chest lifted tall with a straight spine and as you are shuffling to the right continue to pick up the right foot while driving off the left foot to maintain the momentum back to the cone placed 10 yards away (the right cone should be 5 yards from the center cone).
Step 9
At the right cone reach down with the right hand to touch the cone, then drive the right foot into the ground and pick up the left foot in order to laterally shuffle back to the center cone; once at the center cone, drop back into the athletic ready position with the hips flexed and spine straight and tall and push the legs forward to move backwards in a backpedaling motion to return to the original starting position. 
Exercise Variation: Have a partner or coach stand at the center cone and provide either verbal or visual instructions on which way to shuffle: either point to the left to have the athlete/client shuffle to the left, or provide a verbal cue of left to have the client/athlete move to the left.  
Focus on staying low with a straight spine and flexed hips, this will ensure the ability to maintain balance and control through the entire drill.  The center cone should be approx. 10 yards from the initial starting cone, each side cone should be 5 yards from the center cone; the total distance of the drill should cover 40 yards; but the distance between the cones can be adjusted to make the drill more (longer distances) or less (shorter distances) challenging. 
 
			

		Share:","T Drill","Cones","Full Body/Integrated","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/171-1.jpg"
"1712225139-8","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=6","Swing
			    
			    

	
		Target Body Part:
		Full Body/Integrated
	
	
		Equipment:
		Kettlebells
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/391/swing/","Stand with the feet shoulder-width apart and the knees slightly bent, and hold a kettlebell with both hands with the palms facing down. Squeeze the handle in both hands, keep the back straight and sink back into the hips to pull the kettlebell back between the legs under the hips. Lift the chest, quickly push the hips forward, and pull the knees back to swing the kettlebell up in front of the body (Tip: the strength to move the weight should come from the legs and hips, NOT the shoulders.) Allow the kettlebell to come up to chest height before pulling it back down between the legs and slightly sinking back into the hips to prepare for the next repetition. 
			

		Share:","Swing","Kettlebells","Full Body/Integrated","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/391-1.jpg"
"1712225142-9","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=6","Suitcase Carry
			    
			    

	
		Target Body Part:
		Full Body/Integrated
	
	
		Equipment:
		Kettlebells
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/389/suitcase-carry/","Hold one kettlebell in each hand with a firm palms-down grip, and allow the arms to rest along the sides of the body so the kettlebells are next to each hip. Keep the back straight and walk a specified, pre-determined distance; after covering the distance turn around and return to the starting point. 
			

		Share:","Suitcase Carry","Kettlebells","Full Body/Integrated","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/389-1.jpg"
"1712225144-10","https://www.acefitness.org/resources/everyone/exercise-library/body-part/full-body-integrated/?page=6","Suitcase Carry
			    
			    

	
		Target Body Part:
		Full Body/Integrated
	
	
		Equipment:
		Dumbbells
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/358/suitcase-carry/","Hold one dumbbell in a tight, firm grip with the palms facing down in the left hand, and allow the arm to rest along the left side of the body so the dumbbell is next to the left hip. Keep the back straight and walk for a specified, pre-determined distance. Once at the end, turn around and return to the starting point. Switch arms and repeat the walk.
			

		Share:","Suitcase Carry","Dumbbells","Full Body/Integrated","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/358-1.jpg"
