web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712225400-1","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=3","TRX ® Assisted Side Lunge with Arm Raise
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/83/trx-reg-assisted-side-lunge-with-arm-raise/","Step 1
Starting Position: Holding the TRX handles in each hand, turn to face the anchor point. Position your feet together and hold the handles slightly above, or at shoulder-height, but at shoulder-width or slightly wider. Stiffen your torso by contracting your core and abdominal muscles (""bracing"").
Step 2
Downward Phase: Inhale and slowly step to the left while keeping your weight over your heels, feet facing forward and using the TRX to help you maintain your balance. As you step, begin to raise both hands to an overhead position, preventing any excessive arching in your low back by depressing and retracting your scapulae (pulling your shoulders down and back) and contracting your abdominal muscles.
Step 3
Once your left foot is firmly placed on the floor, begin to bend at the hips, pushing them backwards while simultaneously shifting your weight towards your left foot. Continue shifting your weight over the left foot until your tibia (shinbone) is vertical to the floor and your left knee is aligned directly over the second toe of your left foot. Your right leg should be near, or at full extension at the knee while keeping the right foot flat and your body weight should be shifted over to the left hip. The heels of both feet should stay flat on the floor. Your arms should be in a wide, overhead position.
Step 4
Upward Phase: Exhale and push off firmly with your left leg, while pulling on the TRX, returning your body to your starting position. Repeat the movement to the opposite side.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does necessitate additional attention to proper form.
			

		Share:","TRX ® Assisted Side Lunge with Arm Raise","TRX","Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/83-1.jpg"
"1712225402-2","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=3","Supine Hamstrings Stretch
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/235/supine-hamstrings-stretch/","Step 1
Starting Position: Lie flat on your back on the floor / mat adjacent to a wall edge (corner) or in a door jam.  Elevate one leg to rest against the wall while the other leg will lie flat on the floor / mat past the wall edge or door jam.  Adjust your position to allow you to rest as much of the back of the elevated leg against the wall without having to lift your hips off the floor and point your toes towards the ceiling.  Extend your arms outwards at shoulder level with palms facing upwards and stiffen (“brace”) your abdominal muscles to stabilize your spine.

Step 2
Gently exhale and extend your leg slowly by contracting your quads while pulling your toes downwards towards your body, this will increase the stretch in your hamstrings and calf muscles.  Do not allow any movement in your hips and low back during this stretch. 

Step 3
Hold this position for 15 – 30 seconds then relax and return to your starting position.  Perform 2 – 4 repetitions then change your position and repeat with the opposite leg. 
 
Step 4
Exercise Variation: Progress this by tilting your pelvis (hips) anteriorly (forward) to increase the stretch within the hamstrings.  While in the stretched position with your knee extended and toes pulled downwards, increase the arch in your lower back, which tilts your hips forward and increases the magnitude of the hamstrings stretch.
This stretch with pelvic tilts can be completed more dynamically by completing 1 set of 5 - 10 repetitions with each leg, holding the tilted position for 1 - 2 seconds.
 

To maximize the benefits of a stretch and reduce the potential for injury, it is often important to stretch only to the point of tension, avoid bouncing and perform the pelvic tilting movement slowly. 

			

		Share:","Supine Hamstrings Stretch","No Equipment","Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/235-1.jpg"
"1712225404-3","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=3","Step Stretch
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins
	
	
		Equipment:
		Raised Platform/Box
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/211/step-stretch/","Step 1
Starting Position:  Place a step with two risers on each side (or used a raise stable platform) against a wall.  Place your right foot on the step so your whole foot is in contact with the step. Place your left foot on the back of the step so only the ball of the foot is in contact with the step.  The heel is off the step.  Stiffen your abdominal muscles (“brace”) to stabilize your spine, then depress and retract your scapulae (pull shoulders down and back) without arching your low back. Gently place your fingertips on the wall for balance to maintain this position.
 
Step 2
Action:  Slowly lower the left (back) heel toward the ground while bending at the right knee. Hold the stretch for 15-30 seconds for 2-4 repetitions on each side.
			

		Share:","Step Stretch","Raised Platform/Box","Legs - Calves and Shins","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/211-1.jpg"
"1712225408-4","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=2","Standing Dorsi-Flexion (Calf Stretch)
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/152/standing-dorsi-flexion-calf-stretch/","Step 1
Starting Position: Stand facing a wall, arms length away with your feet hip-width apart and facing forward.  Extend your arms to place your palms on the wall slightly higher than your shoulders.  Stiffen (""brace"") your core abdominal muscles to stabilize your spine, then depress and retract your scapulae (pull shoulders down and back) without arching your low back.  Step back with your RIGHT leg into a split-stance position keeping both feet flat on the floor and toes pointing forward. Keep your head in line with your spine.
 
Step 2
Begin slowly moving your body towards the wall keeping your pelvis and spine in alignment.  Do not allow your hips to tilt forward.  Increase the flexion (bend) in your LEFT (front) knee while keeping the opposite leg straightened and pushing the heel into the floor keeping your foot in dorsi-flexion with toes pointed forward.  Support your body weight with your arms, allowing your elbows to bend as you shift your weight forward.  Increase the stretch by bringing your body closer to the wall and increasing the flexion (bend) in your left knee and continue pressing your right heel into the ground. 
 
Step 3
Hold the stretch position for 15-30 seconds at a time for a total of 2-4 repetitions; try to move into the stretch a little deeper with each repetition, but be sure to keep your body in alignment and heels in contact with the floor.  Complete all repetitions on one side before alternating to the other leg.
 
Step 4
Exercise Variation:  To increase the stretch in the soleus, slightly flex (bend) the back knee while pressing the heel into the floor.
 
			

		Share:","Standing Dorsi-Flexion (Calf Stretch)","No Equipment","Legs - Calves and Shins","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/152-1.jpg"
"1712225411-5","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=2","Standing Calf Raises - Wall
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/73/standing-calf-raises-wall/","Step 1
Starting Position: Stand 6 -12"" away from a wall with your feet hip-width apart and facing forward. Extend your arms to place your palms on the wall, level with your chest or shoulders.
Step 2
Upward Phase: Exhale and slowly lift your heels off the floor keeping your knees extended and without rotating your feet. Use your hands on the wall to support your body. Hold your raised position briefly.
Step 3
Downward Phase: Inhale and slowly lower your heels back towards the floor.
Step 4
Exercise Variation (1): Single-leg Calf Raise: From your starting position, bend your left knee to lift your left foot off the floor and perform single-leg calf raises. Repeat with your right leg. 2. Internal and External Foot Position: Turn your feet inward (to the 10 and 2 o'clock positions on a clock) or turn your feet outward (to the same clock positions) as a starting position and perform your calf raises with both feet or with a single-leg. Turning your feet inward places more emphasis on the medial (inner) muscles while turning your feet outward places more emphasis on the lateral (outer) muscles
Step 5
Exercise Variation (2): Modified Internal and External Foot Position: Turn your feet inward (to 10 and 2 o'clock ) or turn your feet outward (to the same clock positions) and perform your calf raises with both feet or with a single leg. Turning your feet inward places more emphasis on the medial (inner) muscles while turning your feet outward places more emphasis on the lateral (outer) muscles.
The gastrocnemius (major calf muscle) contains a higher percentage of fast-twitch fibers thus is better suited to more explosive training. Therefore, once you have mastered your technique these raises can be performed more explosively (with greater power and force) so you can gain greater benefits from the exercise.
			

		Share:","Standing Calf Raises - Wall","No Equipment","Legs - Calves and Shins","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/73-1.jpg"
"1712225413-6","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=2","Standing Ankle Mobilization
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/224/standing-ankle-mobilization/","Step 1
Starting Position:  Stand if front of a wall with feet placed a few inches apart and toes pointing toward the wall.  Lean forward, extending your arms and placing your hands on the wall to support your upper body.  Heels stay in contact with the floor.  Stiffen your abdominal muscles (“brace”) to stabilize your spine, then depress and retract your scapulae (pull shoulders down and back) without arching your low back.

Step 2
Maintaining alignment, slowly lift your right foot off the floor, flexing (bending) the hip and bending the knee to 90 degrees.

Step 3
While stabilizing the body over your stance (left) leg and continuing to lean forward, swing your right leg across the front of the body in the transverse plane (rotating the hips).  Allow your chest to open to the left with your head staying in alignment moving the direction of the swing (gaze to the left).  Hold for 1-2 seconds. Then, swing the right leg out to the right side, rotating the hips in the transverse plane. Allow your chest to open to the right with your head in alignment.  Hold 1-2 seconds. Throughout the exercise, keep the heel of your stance leg in contact with the ground as your weight shifts.

Step 4
Perform 5-10 repetitions on each leg for 1-2 sets.
			

		Share:","Standing Ankle Mobilization","No Equipment","Legs - Calves and Shins","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/224-1.jpg"
"1712225415-7","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=2","Stability Ball Knee Tucks
			    
			    

	
		Target Body Part:
		Abs, Legs - Calves and Shins
	
	
		Equipment:
		Stability Ball
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/60/stability-ball-knee-tucks/","Step 1
Starting Position: Lie prone (on your stomach) over the top of a properly-inflated stability ball (one that compresses approximately 6"" under your body weight) with both feet and hands on the floor, hip- and shoulder-width apart.
 
Step 2
Gently exhale, contract your abdominal/core muscles to stiffen your torso and slowly walk yourself forward, lifting your legs off the floor. Continue walking out until the fronts of your thighs or knees are resting on the top of the ball. Maintain a rigid torso aligned parallel with your legs. Retract and depress your scapulae (pull your shoulder back and down) as your reach your end position, with your arms fully extended and hands positioned directly under your shoulders. To help with stability, try to keep your legs straight and squeezed together. It helps to think about squeezing a quarter between your knees.
 
Step 3
Curling Phase: Exhale and slowly pull your knees towards your chest, rolling the ball forward as your knees tuck under your torso and your hips move upwards. Continue moving until your knees are positioned under your hips and your tibia (shinbone) lies over the top of the ball. Hold this position briefly.
 
Step 4
Lowering Phase: Inhale and push your knees away from your torso, returning your body to the starting position.
Avoid arching (sagging) your lower back or hiking your hips upwards in the starting position. Contract your abdominal, back and glute muscles to keep your torso and legs parallel to the floor.
			

		Share:","Stability Ball Knee Tucks","Stability Ball","Abs, Legs - Calves and Shins","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/60-1.jpg"
"1712225417-8","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=2","Single Leg Squat
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/136/single-leg-squat/","Step 1
Starting Position: Stand with your feet hip width apart, with the right foot slightly forward (the heel of the right foot should be parallel to the toes of the left foot), your body weight should be over the right foot, only the toes of the left foot should be touching the floor to help with balance and stabilization during the entire range-of-motion of the exercise. Gently contract your abdominal / core muscles (""bracing"") to stiffen your torso and stabilize your spine, and depress and retract your scapulae (pull your shoulders down and back) without arching your low back and maintain this shoulder position throughout the exercise. 
 
Step 2
Downward Movement: Inhale and press the right foot into the ground so your weight is balanced between the ball, heel and outside edge of the foot (keep the toes of the left foot on the floor for support during the entire range-of-motion of the exercise).  Slowly begin to bend forward at the hips while maintaining the abdominal bracing to avoid shifting or rotation of your torso. Maintain a flat back and head alignment with your spine (or head extended slightly upwards). 
 
Step 3
Maintain a tall spine with the abdominals braced, push your weight back into your right hip while allowing the right knee to hinge, you can either hold your arms by your side (as pictured) or hold them out front as a counter-balance.  As you are lowering yourself, maintain your weight through the ball of the foot and heel of the stance (supporting) foot, keep the pelvis level and the hips aligned during the full range-of-motion of the exercise.   
Step 4
Upward Movement: keep your bodyweight in your right leg and foot, exhale and slowly push the right foot into the ground to start moving upwards (by extending your hip and knee) to return to the initial standing position, maintain the core bracing through the entire movement to help keep the hips level and control balance.
 
Step 5
Switch the stance (supporting) leg, and complete another set of repetitions on the other leg.
 
Step 6
Exercise Variation: As this technique is mastered, the exercise intensity can be progressed by (1) lifting the supporting leg off of the floor. This increases the need for balance and stabilization within the body; (2) adding external resistance by holding a dumbbell in one hand or a medicine ball in both hands; (3) bending over and / or lower the hips closer to the ground increasing your knee bend; and (4) standing on unstable surfaces (e.g., Airex pad). 
 
Keep the stance foot flat on the floor during the entire range-of-motion of the movement; to emphasize the glutes, push your weight back into your hip during the lowering phase.
			

		Share:","Single Leg Squat","No Equipment","Butt/Hips, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/136-1.jpg"
"1712225419-9","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=2","Single Leg Push-off
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		Raised Platform/Box
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/230/single-leg-push-off/","Step 1
Starting Position: Stand facing a raised platform or a plyometric jump box, place your right foot on the top of the step or box, keep your left foot on the ground, hinge from the hips to lean forward, keep your arms by your side and your head level with your eyes looking at a point on the ground two-to-three feet in front of you.
Step 2
Upward phase: Jump straight up into the air by explosively pushing your right foot in to the top of the box to create triple extension (ankle plantarflexion, knee and hip extension) while simultaneously pushing off with your left foot and swinging both arms up and in front of your body to generate upward momentum.  As you jump into the air lift up your left leg in order to keep your feet level with each other and parallel with the floor. 
Step 3
Landing: The most important components of the landing phase are correct foot position and avoiding excessive forward movement in your lower extremity which places additional stresses upon your knees. 
Step 4
Landing phase: Attempt to land softly and quietly on the mid-foot, rolling backwards quickly towards the heels. Always push your hips backwards and drop them downwards to absorb the impacting forces associated with jumping. Avoid locking out your knees or quads on your landing as this may lead to potential knee injuries. Land with your trunk inclined slightly forward, head aligned with your spine and back rigid or flat. Keep your abdominal / core muscles engaged, stiffening your torso to protect your spine. 
When jumping keep your spine straight and tall by contacting your abdominals (bracing) and be sure to perform the same number of repetitions on each leg. 
			

		Share:","Single Leg Push-off","Raised Platform/Box","Butt/Hips, Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/230-1.jpg"
"1712225422-10","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-calves-and-shins/?page=2","Seated Toe Touches 
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/213/seated-toe-touches/","Step 1
Starting Position: Assume a seated position with legs extended in front of you and point your toes towards the ceiling without bending your knees.  Sit upright (i.e., trunk vertical) with your head aligned with your spine and place your hands on the top of your thighs.

Step 2
Stiffen (“brace”) your abdominal muscles to stabilize your spine, then gently exhale and slowly bend forward from your hips, sliding your hands down your legs towards your ankles.  Attempt to maintain a flat back position and avoid rounding your back towards the ceiling (i.e., move from the hips and not your low back).  Keep your head aligned with your spine, knees extended and toes pointed upwards towards the ceiling. This should create a stretch through your calves and hamstrings, with some stretching in your low and middle back. 

Step 3
Continue to bend and reach forward to the point of tension in the stretch, but do not bounce or push to a point of pain.  Hold this position for 15 - 30 seconds, then relax by returning to your starting position and repeat 2-4 times.  You may elect to grasp your ankles to hold this position.

Step 4
Exercise Variation: This stretch can become more dynamic by performing slow, controlled movements to complete 1 set of 5 - 10 repetitions, holding the stretched position for 1 - 2 seconds.
 

To maximize the benefits of a stretch and reduce the potential for injury, it is often important to stretch only to the point of tension, avoid bounding, and control movement at other segments of the body.  During this stretch, avoid any excessive rounding of your low back.

			

		Share:","Seated Toe Touches","No Equipment","Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/213-1.jpg"
