web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712225407-1","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=8","Warrior I
			    
			    

	
		Target Body Part:
		Butt/Hips, Full Body/Integrated, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/228/warrior-i/","Step 1
Starting Position:  Stand with your feet hip-width apart, toes pointing forward and arms by your sides. Stiffen your abdominal muscles (“brace”) to stabilize your spine, then depress and retract your scapulae (pull shoulders down and back) without arching your low back. Inhale.

Step 2
Exhale and take a larger step forward with your right foot while raising your arms to the ceiling, palms facing each other. Keep your right foot pointed forward and turn your left foot out to the side 45 to 60 degrees. Align your left heel with your right.  Begin lunging forward into the right leg while keeping your back (left) leg extended.  Do not allow the right knee to extend past the right toes. Keep the back (left) heel in contact with the ground. Slowly drop your hips and rotate your torso to the right squaring your shoulders and hips to the front of the matt. Support your weight by pushing through your left foot and reach through your arms up lifting your ribcage away from the pelvis. 

Step 3
Hold this position for 3-5 slow, deep breaths (approximately 20-30 seconds) and repeat on the other side.
			

		Share:","Warrior I","No Equipment","Butt/Hips, Full Body/Integrated, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/228-1.jpg"
"1712225409-2","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=8","Walking Lunges with Twists
			    
			    

	
		Target Body Part:
		Abs, Butt/Hips, Legs - Thighs
	
	
		Equipment:
		Medicine Ball
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/139/walking-lunges-with-twists/","Step 1
Starting Position: Stand with your feet about hip width apart. Depress and retract your scapulae (pull your shoulders down and back) without arching your low back, and ""brace"" (engage your abdominal/core muscles) to stiffen your spine.  Hold a medicine ball in front of your mid-section with a firm grip by both hands.
Step 2
Step forward by slowly lifting the right foot off the floor, stabilizing your body on the left (stance / supporting) leg. Maintain the abdominal bracing in order to avoid any sideways tilting or swaying in your upper body and keep the left (stance / supporting) foot pressed firmly in to the ground. Hold this position momentarily before stepping forward. The right (swing) leg should initiate contact with a heel strike first, slowly transferring your body weight into the right (leading / forward) foot placed firmly on the floor. As you lower your bodyweight into the right leg, avoid any sideways tilting or swaying in your upper body and try not to move the left (stance / supporting) foot. 
Step 3
As you lunge forward, focus more on lowering your hips towards the floor rather than driving your hips forward, (think about aiming your left knee towards the heel of your right foot). This will help control the amount of forward movement of your shinbone (forward tibial translation) over your foot. Continue lowering your body to a comfortable position or until your right (front) thigh becomes parallel with the floor and your tibia (shinbone) is in a slight forward lean. While lunging, simultaneously lean forward slightly at your hips while maintaining the adominal bracing to keep the spine extended and rotate to your left while continuing to hold the medicine ball in front of your mid-section. 
Step 4
From the lowered position, rotate back to the right so that you are facing straight ahead, firmly push the right foot in to the ground and pull yourself back to a standing position by drving the right knee straight back to create knee and hip extension simultaneously.  As you are pulling yourself foward with the right leg, pick the left leg off of the ground and slowly swing it forward to initiate the next lunge.
Step 5
While balancing on the right leg, step forward with the left foot off the floor, stabilize your body by maintaining the abdominal bracing in order to avoid any sideways tilting or swaying in your upper body.  Keep the right (stance / supporting) foot pressed firmly in to the ground.  The left (swing) leg should initiate contact with a heel strike first, slowly transferring your body weight into the left (leading / forward) foot placed firmly on the floor. As you lower your bodyweight into the left leg, avoid any sideways tilting or swaying in your upper body and try not to move the  right (stance / supporting) foot. 
 
Step 6
As you continue into the next lunge with the left foot forward, keep the focus on lowering your hips towards the floor rather than driving your hips forward, (think about aiming your right (back) knee towards the heel of your left (front) foot). This will help control the amount of forward movement of your shinbone (forward tibial translation) over your foot. Continue lowering your body to a comfortable position or until your left (front) thigh becomes parallel with the floor and your tibia (shinbone) is in a slight forward lean. While lunging, simultaneously lean forward slightly at your hips while maintaining the adominal bracing to keep the spine extended and rotate to your right while continuing to hold the medicine ball in front of your mid-section. 
Step 7
From the lowered position, rotate back to the left so that you are facing straight ahead, firmly push the left foot in to the ground and pull yourself back to a standing position by drving the left knee straight back to create knee and hip extension simultaneously.  As you are pulling yourself foward with the left leg, pick the right foot off of the ground and slowly swing it forward to initiate the next lunge.
Step 8
Continue the walking lunge with rotation for a specific number of repetitions or a certain distance.
 
Step 9
One variation is to contract the abdominals and glutes at the top of the stance phase (for example while balanced on the right leg with the left leg off of the ground) for 2-3 seconds to create a balance challenge.  Another variation is to add more resistance by holding one dumbbell in each hand with the elbows bent at 90 degrees and pressed into the sides of the abdominals.
To control the rotation of the movement, maintain a tall, straight spine and turn your head with your shoulders.
			

		Share:","Walking Lunges with Twists","Medicine Ball","Abs, Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/139-1.jpg"
"1712225411-3","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=8","TRX ® Suspended Lunge
			    
			    

	
		Target Body Part:
		Abs, Butt/Hips, Legs - Thighs
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/93/trx-reg-suspended-lunge/","Step 1
Starting Position: Stand in front of the anchor point and interlock the two TRX handles together (refer to TRX user instructions). Loop the foot cradle around the ball of your right foot while supporting yourself. Slowly turn to face away from the anchor point, standing on your stance leg, aligned in front, but directly in line with the anchor point. Your suspended foot should be dorsiflexed at the ankle (toes pulled towards your shin).
Step 2
Adopt a modified sprinter-stance with the right leg flexed to 90 degrees, knees aligned side by side, and the left arm flexed to 90 degrees at the elbow with the finger tips level with or just below your chin. Your right arm should also be flexed to 90 degrees, driving it back from the shoulder until the upper arm lies approximately 45 degrees from vertical.
Step 3
Downward Phase: Inhale and slowly lower your body towards the floor, shifting the hips backwards simultaneously and maintaining your body weight over the heel of your left foot. As your body lowers, the suspended leg will drive backwards, maintaining the 90 degree bend at the knee. Your right arm should drive forward from the shoulder towards the a end-position where the left arm started. Your left arm should simultaneously drive backwards to an end-position where the right arm started. Throughout the arm movements, squeeze the arms to the sides of your body and drive from the shoulders while maintaining the 90 degree bends. Continue to lower yourself maintaining weight over your left heel until your right thigh and torso are in parallel (form a straight line together). Your left tibia (shinbone) should move level with or slightly ahead of the ball of your left foot.
Step 4
Upward Phase: Exhale and slowly press your body upwards by pushing down against the floor through your left heel. The muscle action at the knee and hips extend the body back to your starting position.
Step 5
Exercise Variation (1): To increase the exercise intensity move more explosively to triple extension. The upward phase should be performed more explosively and incorporating triple extension (at the ankle, knee and hip).
Step 6
Exercise Variation (2): To increase the exercise intensity move the upper extremity into different planes. While the lower extremity moves in the sagittal plane (front and back), the upper extremity and/or arms can move in the frontal (left and right) and transverse plane (rotation).
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does necessitate additional attention to proper form.
			

		Share:","TRX ® Suspended Lunge","TRX","Abs, Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/93-1.jpg"
"1712225415-4","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=7","TRX ® Hip Press
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Legs - Thighs
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/90/trx-reg-hip-press/","Step 1
Starting Position: Place your feet securely in the foot cradles positioned directly under the TRX anchor point. Apply downward pressure with your heels by dorsiflexing your ankles (toes point towards your shins) Gently lie back on a mat / floor with your arms at your sides and palms flat on the ground. Contract your core and glute muscles to lift your hips off the mat / floor keeping your body aligned and rigid, using your hands to help stabilize your body. Slowly contract your hamstrings to move your heels towards your hips while keeping your ankles in dorsiflexion. The hips should move into flexion (bending in the hips), but your torso should remain rigid with your weight bearing on your shoulders. Keep you feet together throughout the exercise.
Step 2
Upward Phase: Exhale and press your hips towards the ceiling, extending your hips into a rigid straight line, but avoid arching your lower back. Avoid any back and forth swinging of the TRX straps.
Step 3
Downward Phase: Inhale and slowly return your hips to your starting position. Avoid any back and forth swinging of the TRX straps.
Step 4
Progression: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from under the anchor point of the TRX.
During this exercise, individuals often arch their back to press the hips as high as possible. This increases the stresses on the low back and should be avoided. Contracting your abdominal muscles and maintaining a neutral (flat) spine can reduce these stresses.
			

		Share:","TRX ® Hip Press","TRX","Back, Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/90-1.jpg"
"1712225418-5","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=7","TRX ® Hamstrings Curl 
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Thighs
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/86/trx-reg-hamstrings-curl/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with your heels by dorsiflexing your ankles (pull toes towards your shins). Gently lie back on a mat/floor with your arms at your sides and palms flat on the ground. Contract your core and glute muscles to lift your hips off the mat/floor keeping your body aligned and rigid, using your hands to help stabilize your body. Keep you feet together throughout the exercise.
Step 2
Upward Phase: Exhale and slowly contract your hamstrings to move your heels towards your hips while keeping your ankles in dorsiflexion. Allow slight flexion in the hips (forward bend in the hips), but maintain a stable torso. Avoid any back and forth swinging of the TRX straps.
Step 3
Downward Phase: Inhale and slowly return both feet in unison towards your starting position, establishing a rigid body alignment. Avoid any back and forth swinging of the TRX straps.
Step 4
Exercise Variation: The intensity of this exercise can be increased by positioning your body further away from under the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Hamstrings Curl","TRX","Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/86-1.jpg"
"1712225420-6","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=7","Thomas Stretch
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/192/thomas-stretch/","Step 1
Sit at the end of a massage table with your mid thigh aligned with the edge. Sit tall, lifting your head towards the ceiling.  Stiffen your abdominal muscles to engage (“brace”) your spine, then depress and retract your scapulae (pull your shoulders down and back) without arching your low back. 
 
Step 2
Keeping your abdominals engaged, lean slightly backwards drawing your left knee off the table towards the chest and folding your hands under your left thigh with out moving your torso.  Continue leaning back, keeping your head in line with your spine, and abdominals engaged.  Draw your right knee up towards the ceiling, lifting your right thigh off the table.
 
Step 3
Begin to round out your back, lowering it to the table one vertebra at a time.  Keeping hold of your left thigh, allow your right knee to stay pointed toward the ceiling.  As your lower your head coming into a supine (on your back) position, keep a hold of your left leg and lower your right thigh straight down to the table maintaining the bent knee position to allow your  lower leg to hang off the table and a stretch through the right hip flexor. 
 
Step 4
Hold the stretch position for 15-30 seconds at a time for a total of 2-4 repetitions.  Complete  all repetitions on one side before alternating to the other leg.
 

Transition from starting position to the ending supine position with control to receive the full beneft if the stretch.

			

		Share:","Thomas Stretch","No Equipment","Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/192-1.jpg"
"1712225422-7","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=7","Supine IT Band Stretch
			    
			    

	
		Target Body Part:
		Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/232/supine-it-band-stretch/","Step 1
Starting Position: Lie flat on your back on the floor / mat with both legs extended, arms outstretched to your sides at shoulder level, with palms facing upwards. Stiffen (“brace”) your abdominal muscles to stabilize your spine, depress and retract your scapulae (pull shoulders back and down) without moving your trunk and attempt to hold these positions throughout the exercise.  Place the heel of one foot on top of the toes of the other foot, aligning both feet vertically.
 
Step 2
Gently exhale and slowly rotate your hips, attempting to drop the inside of the top foot towards the floor while keeping both knees extended.  Attempt to rotate the hips until they align vertically, or near vertically with the floor with little rotation occurring through your trunk.  Avoid arching your low back during this rotation.
 
Step 3
Hold this position for 15 – 30 seconds then relax and return to your starting position.  Perform 2 – 4 repetitions then change your foot position and repeat with the opposite side.
 
Step 4
Exercise Variation: This stretch can become more dynamic by performing slow, controlled movements to complete 1 set of 5 - 10 repetitions with each leg, holding the stretched position for 1 - 2 seconds.
 

To maximize the benefits of a stretch and reduce the potential for injury, it is often important to stretch only to the point of tension, avoid bouncing and control movement at other segments of the body.  During this stretch, attempt to avoid any rotation or arching in your low back

 
			

		Share:","Supine IT Band Stretch","No Equipment","Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/232-1.jpg"
"1712225424-8","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=7","Supine Hip Flexor Stretch
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/146/supine-hip-flexor-stretch/","Step 1
Starting Position: Lie supine (on your back) on an exercise mat or firm surface, extending your legs so there are lying flat along the floor with the toes pointing up towards the ceiling. Slide your left foot back towards your hip so that your foot is flat along the floor and the knee is pointing up towards the ceiling, keep the right leg flat along the ground.
 
Step 2
Depress and retract your scapulae (pull your shoulder down and back) without increasing the arch in your low back or lifting your hips off the mat / floor. Hold this position throughout the exercise. Reach down with both hands and gently grab the back of the left thigh to pull your knee back towards your chest, at the same time keep your right leg lying flat along the ground and push the back of the heel into the ground while contracting (squeezing) your right glute (butt) muscle.
 
Step 3
To increase the stretch, maintain the abdominal contraction, exhale and slowly pull the knee further back towards the chest while straightening the leg and pushing your heel away from your body.  Hold position for 30-45 seconds, straighten the leg and repeat for 2-5 repetitions; alternate legs and repeat. 
 

Continue breathing through the exercise, use the exhale phase to slowly pull the knee towards the chest to increase the stretch.

			

		Share:","Supine Hip Flexor Stretch","No Equipment","Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/146-1.jpg"
"1712225426-9","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=7","Supine Hamstrings Stretch
			    
			    

	
		Target Body Part:
		Legs - Calves and Shins, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/235/supine-hamstrings-stretch/","Step 1
Starting Position: Lie flat on your back on the floor / mat adjacent to a wall edge (corner) or in a door jam.  Elevate one leg to rest against the wall while the other leg will lie flat on the floor / mat past the wall edge or door jam.  Adjust your position to allow you to rest as much of the back of the elevated leg against the wall without having to lift your hips off the floor and point your toes towards the ceiling.  Extend your arms outwards at shoulder level with palms facing upwards and stiffen (“brace”) your abdominal muscles to stabilize your spine.

Step 2
Gently exhale and extend your leg slowly by contracting your quads while pulling your toes downwards towards your body, this will increase the stretch in your hamstrings and calf muscles.  Do not allow any movement in your hips and low back during this stretch. 

Step 3
Hold this position for 15 – 30 seconds then relax and return to your starting position.  Perform 2 – 4 repetitions then change your position and repeat with the opposite leg. 
 
Step 4
Exercise Variation: Progress this by tilting your pelvis (hips) anteriorly (forward) to increase the stretch within the hamstrings.  While in the stretched position with your knee extended and toes pulled downwards, increase the arch in your lower back, which tilts your hips forward and increases the magnitude of the hamstrings stretch.
This stretch with pelvic tilts can be completed more dynamically by completing 1 set of 5 - 10 repetitions with each leg, holding the tilted position for 1 - 2 seconds.
 

To maximize the benefits of a stretch and reduce the potential for injury, it is often important to stretch only to the point of tension, avoid bouncing and perform the pelvic tilting movement slowly. 

			

		Share:","Supine Hamstrings Stretch","No Equipment","Legs - Calves and Shins, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/235-1.jpg"
"1712225428-10","https://www.acefitness.org/resources/everyone/exercise-library/body-part/legs-thighs/?page=7","Supine 90-90 Hip Rotator Stretch
			    
			    

	
		Target Body Part:
		Butt/Hips, Legs - Thighs
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/148/supine-90-90-hip-rotator-stretch/","Step 1
Starting Position: Lie supine (on your back) on a mat, placing the backs of your lower legs and heels on the top of a bench (so that the knees are able to maintain a ninety-degree bend). Position your feet hip-width apart on the bench with your ankles slightly dorsiflexed (toes pointing towards the ceiling). Gently contract your abdominal/core muscles to flatten your low back into the floor. Attempt to maintain this gentle muscle contraction throughout the exercise. Extend your arms along your sides with palms turned to the ceiling and breathe deeply for 30 seconds to allow your hips to relax into this position. 
 
Step 2
Take your left foot and rotate your lower leg in towards the midline (center) of your body so that you can rest your left foot on your right knee; maintain the ninety degree bend in the left knee as the foot is resting on the right knee. 
Step 3
With both hands, reach down and grab the back of the right thigh to begin pulling your right thigh and knee towards your chest, keep the right foot on top of the bench for support as your pull your knee towards your chest.  Hold this position for 30-45 seconds, then extend the right leg back along the top of the bench before repeating 2-5 times; alternate so the right foot is resting on the left knee and repeat. 
Step 4
Exercise Variation: Instead of a bench, use a stability ball, this will allow you to roll your right knee towards your chest and use the leverage of the ball to increase the intensity of the stretch.
 
Use a bench (or stability ball) which will allow your hip and knee to remain at ninety degree angles.
			

		Share:","Supine 90-90 Hip Rotator Stretch","No Equipment","Butt/Hips, Legs - Thighs","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/148-1.jpg"
