web-scraper-order,web-scraper-start-url,exercise-selector,exercise-selector-href,instructions,name,equipment,bodypart,image-src
"1712225412-1","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=6","V-raise
			    
			    

	
		Target Body Part:
		Shoulders
	
	
		Equipment:
		Dumbbells
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/370/v-raise/","Stand with the feet hip-width apart, hold one dumbbell in each hand with the palms up at about a 45 degree angle, and the arms out straight with the weights resting on the thighs. Press the feet into the ground, keep the hips straight and the back tall, and raise both arms up to shoulder-height in a 45-degree angle to the front of the body. Slowly lower both arms.
			

		Share:","V-raise","Dumbbells","Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/no_photo.gif"
"1712225415-2","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=6","TRX ® Suspended Push-up
			    
			    

	
		Target Body Part:
		Arms, Chest, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/89/trx-reg-suspended-push-up/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with the tops of your feet by plantarflexing your ankles (toes point away from your shins). Gently lie flat on your stomach with your hands placed shoulder-width apart, under your shoulders and facing forward. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and your glutes and quadriceps (butt and thigh muscles).
Step 2
Upward Phase: Exhale and slowly press yourself upward until your elbows are fully extended, aligning your head and spine (avoid any sagging or aching in your low back or hips hiking upwards). Keep your feet together throughout the exercise and avoid any back and forth swinging of the TRX straps.
Step 3
Downward Phase: Maintaining your rigid torso, inhale and slowly lower your body towards the floor, touching your chin or upper chest to the floor. Again, avoid any arching or sagging in your low back.
Step 4
Exercise Variation: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from under the anchor point of the TRX.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Suspended Push-up","TRX","Arms, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/89-1.jpg"
"1712225417-3","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=6","TRX ® Suspended Pike
			    
			    

	
		Target Body Part:
		Abs, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/88/trx-reg-suspended-pike/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with the tops of your feet by plantarflexing your ankles (toes point away from your shins). Gently lie flat on your stomach with your hands placed shoulder-width apart, under your shoulders and facing forward. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and your glutes and quadriceps (butt and thigh muscles).
Step 2
Exhale and slowly press yourself upward until your elbows are fully extended, aligning your head and spine (avoid any sagging or aching in your low back or hips hiking upwards). Keep your feet together throughout the exercise and avoid any back and forth swinging of the TRX straps.
Step 3
Upward Phase: Exhale, contract your abdominal muscles and slowly pull your legs towards your chest. Knees must remain extended knees and ankles in plantarflexion (toes pointed away from your shins). Keep you feet together throughout the exercise. During the movement your hips will rise upwards (your glutes should move towards the ceiling). Continue the movement until your hips move directly over your shoulders in an inverted shoulder press position. Maintain a rigid torso and flat spine, preventing any arching or bowing in the back.
Step 4
Downward Phase: While maintaining your rigid torso, inhale and slowly lower your body towards the starting push-up position, maintaining your head and spine alignment.
Step 5
Exercise Variation: The intensity of this exercise can be increased by lengthening the straps and positioning your body further away from the anchor point of the TRX.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate capability to effectively stabilize their lumber spine (low back) with their core muscles.
			

		Share:","TRX ® Suspended Pike","TRX","Abs, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/88-1.jpg"
"1712225421-4","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=5","TRX ® Side-straddle Golf Swings 
			    
			    

	
		Target Body Part:
		Back, Chest, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/81/trx-reg-side-straddle-golf-swings/","Step 1
Starting Position: Holding the TRX handles or foot cradles in each hand, turn yourself to face the anchor point with your feet wider than hip-width and both facing forward. Bend at the hips, pushing them backwards while maintaining your weight over your heels and using the TRX to assist you keep your balance. As your lean backwards, extend your arms forward at chest height with palms facing towards the floor. Keep your head up, looking forward throughout this movement.
Step 2
Rotation Movement: Exhale and slowly rotate your arms at the shoulders without turning your head until you reach a point of tension. The leading arm will rotate behind your torso while the trailing arm will simply move across the front of your body. Hold briefly, inhale, then exhale and rotate in the opposite direction.
Step 3
Exercise Variation (1): To progress the exercise and mimic the golf swing more closely try moving your feet together and change your starting position where you are not bending over, but assuming a slightly bent-knee (1/4 squat) position. Extend your arms forward towards your knees rather than to chest level (pushing down on the handles of foot cradles) and rotate as described above. This rotation will exhibit more pivoting off the back foot. Change your head position to look towards the floor.
Step 4
Exercise Variation (2): Progress the movement to a windmill to increase torso rotation for your golf swing. From the same starting position described in the first progression, rotate both arms together in each direction while keeping your head fixed and facing the floor. This movement will exhibit a greater degree of pivoting off the back foot.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it requires additional attention to proper form.
			

		Share:","TRX ® Side-straddle Golf Swings","TRX","Back, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/81-1.jpg"
"1712225423-5","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=5","TRX ® Atomic Push-up
			    
			    

	
		Target Body Part:
		Abs, Arms, Chest, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Advanced
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/77/trx-reg-atomic-push-up/","Step 1
Starting Position: Place your feet securely into the foot cradles positioned directly under the anchor point. Apply downward pressure with the tops of your feet by plantarflexing your ankles (toes point away from your shins). Gently lie flat on your stomach with your hands placed shoulder-width apart, under your shoulders and facing forward. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), and your glutes (butt) and quadriceps (thigh) muscles.
Step 2
Upward Phase: Exhale and slowly press yourself upward until your elbows are fully extended, aligning your head and spine. Avoid sagging or aching your low back, avoid the hips hiking upwards, and be sure to contract your glutes and quadriceps to maintain hip stability. Keep your feet together throughout the exercise and avoid any back and forth swinging of the TRX straps. Continue to pull your legs towards your chest. Knees must remain extended, knees and ankles in plantarflexion (toes pointed away from your shins). Keep your feet together throughout the exercise. During the movement, your hips will rise upwards and continue the movement until your hips are directly over your shoulders in an inverted shoulder press position. Maintain a rigid torso and flat spine, preventing any arching or bowing in the back.
Step 3
Downward Phase: While maintaining a rigid torso, inhale and slowly lower your body towards the push-up, aligning your head and spine. Continue to slowly lower your body, touching your chin or upper chest to the floor. Again, avoid any arching or sagging in your low back. Contract your glutes and quadriceps to help maintain stability.
Step 4
Exercise Variation: The intensity of this exercise can be increased by positioning your body further away from under the anchor point of the TRX and lengthening the straps.
Using the TRX certainly enhances the appeal of many exercises; however, trainers and individuals should not participate in these advanced exercises until they can demonstrate effectively stabilize their lumber spine (low back) using their core muscles.
			

		Share:","TRX ® Atomic Push-up","TRX","Abs, Arms, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/77-1.jpg"
"1712225425-6","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=5","TRX ® Assisted Side Lunge with Arm Raise
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/83/trx-reg-assisted-side-lunge-with-arm-raise/","Step 1
Starting Position: Holding the TRX handles in each hand, turn to face the anchor point. Position your feet together and hold the handles slightly above, or at shoulder-height, but at shoulder-width or slightly wider. Stiffen your torso by contracting your core and abdominal muscles (""bracing"").
Step 2
Downward Phase: Inhale and slowly step to the left while keeping your weight over your heels, feet facing forward and using the TRX to help you maintain your balance. As you step, begin to raise both hands to an overhead position, preventing any excessive arching in your low back by depressing and retracting your scapulae (pulling your shoulders down and back) and contracting your abdominal muscles.
Step 3
Once your left foot is firmly placed on the floor, begin to bend at the hips, pushing them backwards while simultaneously shifting your weight towards your left foot. Continue shifting your weight over the left foot until your tibia (shinbone) is vertical to the floor and your left knee is aligned directly over the second toe of your left foot. Your right leg should be near, or at full extension at the knee while keeping the right foot flat and your body weight should be shifted over to the left hip. The heels of both feet should stay flat on the floor. Your arms should be in a wide, overhead position.
Step 4
Upward Phase: Exhale and push off firmly with your left leg, while pulling on the TRX, returning your body to your starting position. Repeat the movement to the opposite side.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does necessitate additional attention to proper form.
			

		Share:","TRX ® Assisted Side Lunge with Arm Raise","TRX","Back, Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/83-1.jpg"
"1712225428-7","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=5","TRX ® Assisted Cross-over Lunge with Arm Raise
			    
			    

	
		Target Body Part:
		Back, Butt/Hips, Shoulders
	
	
		Equipment:
		TRX
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/82/trx-reg-assisted-cross-over-lunge-with-arm-raise/","Step 1
Starting Position: Holding the TRX handles in each hand, turn to face the anchor point. Position your feet together and hold the handles slightly above or at shoulder-height, but at shoulder-width or slightly wider. Stiffen your torso by contracting your core and abdominal muscles (""bracing"").
Step 2
Downward Phase: Inhale and slowly step with your right leg across to the left while keeping your weight over your heels, both feet facing forward and using the TRX to help you maintain balance. As you step, begin to raise both hands to an overhead position. Prevent any excessive arching in your low back by depressing and retracting your scapulae (pulling your shoulders down and back) and contracting your abdominal muscles).
Step 3
Once your right foot is firmly placed on the floor, begin to bend at the hips, pushing them backwards while simultaneously shifting your weight towards your right foot. Continue shifting your weight over the right foot until your tibia (shinbone) is vertical to the floor and aligned directly over your second toe, with your weight distributed through your heel. The heel of your back foot may lift of the ground as you load into your right foot. Your arms should be in a wide, overhead position.
Step 4
Upward Phase: Exhale and push off firmly with your right leg, while pulling on the TRX, returning your body to your starting position. Repeat the movement to the opposite side.
Using the TRX as an assisted device reduces the load placed upon many joints. While this certainly can promote additional range of movement, it does require additional attention to proper form.
			

		Share:","TRX ® Assisted Cross-over Lunge with Arm Raise","TRX","Back, Butt/Hips, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/82-1.jpg"
"1712225430-8","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=5","Supine Spinal Twist with Rib Grab and Progressions
			    
			    

	
		Target Body Part:
		Abs, Back, Chest, Shoulders
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Intermediate
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/229/supine-spinal-twist-with-rib-grab-and-progressions/","Step 1
Starting Position: Lie on your side on a mat with both legs bent slightly deeper than 90 degrees at the hips, knees bent to 90 degrees, and feet overlapping each other.  Align your hips and shoulder vertically with the floor and spine and head in a straight line.  Extend your lower arm in front of your body at chest level, resting it upon the mat while reaching with your upper arm down under your trunk to firmly grasp your ribcage.  Contract (“brace”) your abdominal muscles to stabilize your spine, depress and retract your scapulae (pull shoulders back and down) without moving your trunk and attempt to hold these positions throughout the exercise.

Step 2
Gently exhale and slowly rotate your trunk by pulling the ribcage around with your upper arm.  Attempt to avoid any rotation of your hips, (indicated by your upper thigh sliding backwards as you rotate).  Continue rotating your trunk until your reach the point of tension, avoid bouncing or pushing to the point of pain.  The deeper bend at the hips and abdominal stiffening will help prevent any arching in your low back during the stretch.  Grasping under your ribcage will ensure rotation, and stretching of, your trunk and reduce shoulder stress that often occurs when the arm is extended and allowed to fall towards the floor (refer progression).

Step 3
Hold this position for 15 – 30 seconds then relax and return to your starting position.  Perform 2 – 4 repetitions then repeat to the opposite side.

Step 4
Progression 1: Extend the lower leg, while resting the inside of the upper knee on a small riser.  In this position, the upper thigh may rotate with your trunk, evidenced by a backwards slide of the upper knee during the rotation.  Your objective is to stabilize your hips while only allowing rotation to occur in the trunk.

Step 5
Progression 2: Remove the riser under the upper knee and place it firmly against the mat / floor.  In this position, the upper knee may rise off the floor and the upper thigh may rotate with your trunk.  Your objective is to stabilize your hips by pressing the knee into the floor and only allowing rotation to occur in the trunk.

Step 6
Progression 3: Repeat the same exercise, but begin with both arms extended in front of your body at chest level.  As you begin to rotate, bend the upper elbow, sliding it towards your trunk, then extending the arm outwards again at chest level as you continue your rotation.  Continue your rotation until the point of tension in the trunk and shoulder, but avoid arching your back or rotating your hips. This will increase the stretch in the shoulder and chest region, in addition to your trunk.

To maximize the benefits of this stretch and reduce the potential for injury, it is often important to follow the instructions provided carefully.

 
			

		Share:","Supine Spinal Twist with Rib Grab and Progressions","No Equipment","Abs, Back, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/229-1.jpg"
"1712225432-9","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=5","Supine Snow Angel (Wipers) Exercise
			    
			    

	
		Target Body Part:
		Abs, Chest, Shoulders
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/124/supine-snow-angel-wipers-exercise/","Step 1
Starting Position: Lie supine (on your back) on an exercise mat or firm surface, bending your knees until your feet are positioned flat on the floor 12-18"" from your buttocks. Place your arms at your sides, with elbows fully extended and palms facing inward. Breathe deeply for a 30 seconds relaxing your body and allowing gravity to gently pull your lower back and shoulders towards the floor.
Step 2
Depress and retract your scapulae (pull your shoulder down and back) without increasing the arch in your low back or lifting your hips off the mat / floor. Contract your abdominal / core muscles to flatten your low back into the mat and hold this position throughout the exercise.
Step 3
Slide your arms out from your sides forming a 45-degree angle with your torso, keeping your upper arms making contact with the mat / floor. Bend your elbows to a comfortable position and keep your wrists in a neutral position (aligning the backs of your forearms, wrists and hands).
Step 4
Upward Movement: Exhale and gently rotate your upper arms, sliding the mat / floor to an end position where your hands touch overhead and your elbows have a comfortable bend. Attempt to keep much of the back of your upper arms, forearms, wrists and hands in contact with, or near the mat/ floor and avoid arching your lower back as your rotate overhead.
Step 5
Downward Movement: Inhale and gently rotate your arms back to your starting position, attempting to keep your upper arms, forearms, wrists and hands in contact with, or near the mat/ floor and avoid arching your lower back as your rotate overhead.
This exercise stretches the muscles of your shoulders and lats in a stable and isolated manner. Reducing movement restriction in the shoulder helps minimize the likelihood of shoulder injury and pain. Try performing this exercise adjacent to a mirror that will allow you to monitor any undesired movement in the hips, ribs, shoulder or low-back.
			

		Share:","Supine Snow Angel (Wipers) Exercise","No Equipment","Abs, Chest, Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/124-1.jpg"
"1712225434-10","https://www.acefitness.org/resources/everyone/exercise-library/body-part/shoulders/?page=5","Supine Shoulder Flexion 
			    
			    

	
		Target Body Part:
		Shoulders
	
	
		Equipment:
		No Equipment
	
	
		Difficulty:
		
			
				
                            Beginner
			
		
	


			    
		    
		    
                View Details","https://www.acefitness.org/resources/everyone/exercise-library/123/supine-shoulder-flexion/","Step 1
Starting Position: Lie supine (on your back) on an exercise mat or firm surface, bending your knees until your feet are positioned flat on the floor 12-18"" from your buttocks. Place your arms at your sides, with elbows fully extended and palms facing inward. Breathe deeply for a 30 seconds relaxing your body and allowing gravity to gently pull your lower back and shoulders towards the floor. 

Step 2
Depress and retract your scapulae (pull your shoulder down and back) without increasing the arch in your low back or lifting your hips off the floor. Contract your abdominal / core muscles to flatten your low back into the mat and hold this position throughout the exercise. 

Step 3
Shoulder Flexion: Exhale and gently lift and rotate your arms overhead, continuing to rotate them towards the floor without arching your lower back, bending your elbows or changing your wrist position. Your goal is to lift and rotate your arms overhead and backwards to 150+ degrees (starting point = 0 degrees; complete rotation where the thumbs touch the floor overhead = 180 degrees). Hold this position for 15-30 seconds before slowly returning to your starting position. 

Step 4
In this overhead position, attempt to: (1) fully extend the elbows without arching your low back or shrugging your shoulders and (2) keep your shoulders depressed (avoid any upward shrugging). 

Step 5
Shoulder Extension: Inhale and slowly return your arms back to your starting position. 

This exercise stretches the muscles of your shoulders and your lats in a stable and isolated manner. Controlling and restricting movement in the shoulder helps minimize the likelihood of shoulder injury and pain. Try performing this exercise adjacent to a mirror that will allow you to monitor any undesired movement in the hips, ribs, shoulder or low-back.
			

		Share:","Supine Shoulder Flexion","No Equipment","Shoulders","https://ik.imagekit.io/02fmeo4exvw/exercise-library/large/123-1.jpg"
